u,i1,i2,hl,nl
0,,,4064,"[159.39, 3.0, 135.0, 0.0, 0.0, 7.0, 11.0]"
1,,,193,"[1284.228, 123.75, 4.95, 48.51, 136.62, 168.3, 22.0]"
2,,,1023,"[412.0, 22.0, 4.95, 19.8, 35.64, 29.0, 16.83]"
3,,,1089,"[778.4, 46.0, 83.16, 53.46, 158.4, 45.54, 12.87]"
4,,,1418,"[1642.6, 83.0, 58.41, 40.0, 212.85, 64.0, 46.0]"
5,,,300,"[461.5, 28.71, 174.24, 3.96, 23.759999999999998, 27.0, 21.78]"
6,,,3685,"[1229.4, 91.0, 26.0, 49.0, 139.59, 146.52, 32.0]"
7,,,2773,"[1916.9370000000001, 209.0, 32.67, 71.28, 184.0, 287.1, 25.0]"
8,,,2549,"[553.014, 17.82, 389.0, 135.0, 10.89, 4.0, 36.63]"
9,,,484,"[418.176, 36.0, 63.0, 12.0, 45.54, 38.61, 10.0]"
10,,,4005,"[660.4000000000001, 57.42, 26.73, 28.71, 51.0, 77.22, 18.0]"
11,,,2511,"[846.2, 51.48, 22.0, 55.0, 89.1, 91.0, 29.0]"
12,,,4106,"[372.83399999999995, 2.9699999999999998, 54.45, 24.0, 18.0, 1.0, 26.0]"
13,,,1517,"[332.34299999999996, 15.84, 122.76, 32.0, 16.83, 19.0, 16.83]"
14,,,98,"[300.069, 24.0, 70.29, 10.0, 19.8, 22.77, 9.9]"
15,,,2608,"[1180.674, 79.2, 129.0, 62.37, 75.24, 62.37, 49.0]"
16,,,1172,"[523.8, 25.74, 124.74, 17.0, 25.74, 36.63, 25.74]"
17,,,1522,"[1583.4060000000002, 16.83, 859.3199999999999, 40.589999999999996, 42.0, 7.92, 104.94]"
18,,,2949,"[307.79999999999995, 23.0, 99.0, 52.47, 9.0, 39.6, 11.879999999999999]"
19,,,4113,"[231.56099999999998, 24.0, 19.0, 12.87, 12.87, 35.0, 3.96]"
20,,,125,"[2996.2, 262.0, 1083.0, 124.0, 150.48, 220.77, 103.0]"
21,,,2274,"[739.53, 54.0, 175.0, 35.64, 42.57, 97.02, 19.8]"
22,,,3483,"[1483.7129999999997, 103.0, 319.0, 128.0, 55.44, 113.0, 65.34]"
23,,,484,"[574.2, 28.71, 272.25, 14.0, 44.55, 23.759999999999998, 27.0]"
24,,,357,"[639.7, 31.68, 26.73, 22.0, 49.0, 32.0, 26.73]"
25,,,361,"[399.16800000000006, 47.0, 37.0, 14.85, 33.0, 48.51, 4.95]"
26,,,4642,"[1034.451, 102.0, 98.01, 38.0, 61.38, 194.0, 26.73]"
27,,,284,"[849.42, 97.0, 75.24, 72.27, 77.0, 166.0, 12.0]"
28,,,1443,"[670.23, 60.39, 42.57, 87.0, 69.3, 57.42, 13.0]"
29,,,4954,"[682.8029999999999, 66.0, 63.36, 15.84, 94.05, 74.0, 9.0]"
30,,,1197,"[629.9369999999999, 40.0, 33.0, 61.0, 64.0, 54.0, 21.78]"
31,,,4270,"[494.10900000000004, 40.0, 31.0, 76.23, 102.0, 58.41, 2.9699999999999998]"
32,,,647,"[3691.8089999999997, 500.0, 323.0, 54.45, 171.0, 193.0, 53.46]"
33,,,4888,"[1223.7, 87.12, 41.58, 75.24, 85.0, 82.0, 43.56]"
34,,,1053,"[573.705, 33.0, 23.0, 50.0, 61.38, 23.759999999999998, 21.0]"
35,,,3820,"[169.5, 8.91, 57.42, 44.55, 14.85, 9.0, 5.9399999999999995]"
36,,,3335,"[418.869, 56.43, 15.0, 12.87, 30.0, 86.0, 0.99]"
37,,,740,"[537.0, 9.0, 260.37, 23.759999999999998, 16.83, 5.9399999999999995, 38.0]"
38,,,767,"[375.5, 30.0, 88.0, 10.0, 14.85, 46.53, 13.0]"
39,,,617,"[1371.8429999999998, 127.0, 160.38, 74.0, 180.0, 135.63, 23.0]"
40,,,2274,"[375.5, 10.89, 141.0, 0.99, 10.89, 4.0, 16.0]"
41,,,4091,"[881.9000000000001, 89.1, 33.66, 114.0, 136.62, 155.43, 6.0]"
42,,,125,"[2192.157, 155.43, 1079.1, 31.68, 70.0, 98.01, 104.0]"
43,,,4177,"[503.0, 28.71, 46.53, 73.26, 56.0, 40.0, 19.8]"
44,,,4954,"[472.90000000000003, 30.0, 58.0, 48.0, 60.39, 37.0, 14.0]"
45,,,2663,"[874.4670000000001, 48.51, 393.03, 34.0, 46.0, 91.08, 42.0]"
46,,,1304,"[3346.8929999999996, 505.0, 155.43, 88.11, 76.0, 402.93, 26.0]"
