u,i1,i2,hl,nl
0,,5010.0,,
1,,6906.0,,
2,,2499.0,,
3,,1257.0,,
4,,7655.0,,
5,,2499.0,,
6,,5010.0,,
7,,2499.0,,
8,,4717.0,,
9,,5010.0,,
10,,63.0,,
11,,6906.0,,
12,,2499.0,,
13,,5010.0,,
14,,2499.0,,
15,,5010.0,,
16,,5319.0,,
17,,3217.0,,
18,,5010.0,,
19,,2683.0,,
20,,335.0,,
21,,2499.0,,
22,,2499.0,,
23,,6906.0,,
24,,5319.0,,
25,,7449.0,,
26,,6906.0,,
27,,2683.0,,
28,,6906.0,,
29,,6906.0,,
30,,6906.0,,
31,,6906.0,,
32,,5319.0,,
33,,2499.0,,
34,,6906.0,,
35,,2499.0,,
36,,6906.0,,
37,,4253.0,,
38,,6906.0,,
39,,3184.0,,
40,,5010.0,,
41,,332.0,,
42,,5006.0,,
43,,63.0,,
44,,5319.0,,
45,,2499.0,,
46,,6335.0,,
47,,3203.0,,
48,,2499.0,,
49,,4717.0,,
50,,4717.0,,
51,,3184.0,,
52,,7655.0,,
53,,5319.0,,
54,,3203.0,,
55,,4253.0,,
56,,1833.0,,
57,,3203.0,,
58,,5006.0,,
59,,2499.0,,
60,,2499.0,,
61,,3203.0,,
62,,3203.0,,
63,,3203.0,,
64,,6906.0,,
65,,2683.0,,
66,,2499.0,,
67,,1168.0,,
68,,6906.0,,
69,,63.0,,
70,,5010.0,,
71,,1168.0,,
72,,332.0,,
73,,4717.0,,
74,,5010.0,,
75,,2683.0,,
76,,2499.0,,
77,,1511.0,,
78,,332.0,,
79,,2499.0,,
80,,6335.0,,
81,,5006.0,,
82,,1124.0,,
83,,2499.0,,
84,,5006.0,,
85,,4253.0,,
86,,6906.0,,
87,,2499.0,,
88,,2499.0,,
89,,5319.0,,
90,,2499.0,,
91,,800.0,,
92,,5010.0,,
93,,2499.0,,
95,,5010.0,,
96,,5006.0,,
97,,63.0,,
98,,2683.0,,
99,,6906.0,,
100,,7449.0,,
101,,5010.0,,
102,,2499.0,,
103,,1252.0,,
104,,4717.0,,
105,,4717.0,,
106,,5010.0,,
107,,332.0,,
108,,4623.0,,
109,,6335.0,,
110,,7557.0,,
111,,5010.0,,
112,,6276.0,,
113,,2499.0,,
114,,2499.0,,
115,,5006.0,,
116,,6906.0,,
117,,6906.0,,
118,,5006.0,,
119,,5006.0,,
