u,i1,i2,nl
0,3184,,
1,2022,,
2,150,,
3,2809,,
4,2022,,
5,7620,,
6,5180,,
7,4253,,
8,4189,,
9,2683,,
10,7229,,
11,590,,
12,6324,,
13,6276,,
14,3217,,
15,5058,,
16,7887,,
17,5185,,
18,4623,,
19,5024,,
20,4574,,
21,7642,,
22,7790,,
23,2817,,
24,4053,,
25,1297,,
26,332,,
27,1329,,
28,7887,,
29,3440,,
30,5106,,
31,4964,,
32,728,,
33,8021,,
34,339,,
35,4623,,
36,840,,
37,7449,,
38,6906,,
39,7620,,
40,5006,,
41,2816,,
42,2022,,
43,7946,,
44,590,,
45,3502,,
46,4308,,
47,7470,,
48,2378,,
49,1252,,
50,5010,,
51,3484,,
52,2809,,
53,1329,,
54,4308,,
55,1910,,
56,7946,,
57,8021,,
58,3184,,
59,590,,
60,6324,,
61,1170,,
62,342,,
63,3217,,
64,1511,,
65,912,,
66,5915,,
67,2757,,
68,3440,,
69,2683,,
70,1043,,
71,4717,,
72,2212,,
73,7213,,
74,1257,,
75,4308,,
76,7790,,
77,3248,,
78,4189,,
79,1511,,
80,7946,,
81,7655,,
82,1505,,
83,7946,,
84,1252,,
85,1093,,
86,2683,,
87,7655,,
88,4836,,
89,5695,,
90,4096,,
91,4189,,
92,5168,,
93,4836,,
94,7557,,
95,2378,,
96,4717,,
97,7470,,
98,3668,,
99,6009,,
100,2022,,
101,7790,,
102,4384,,
103,5185,,
104,5010,,
105,2683,,
106,1252,,
107,1388,,
108,1388,,
109,4384,,
110,4987,,
111,4863,,
112,5298,,
113,1505,,
114,2512,,
115,4964,,
116,2512,,
117,335,,
118,7233,,
119,3668,,
120,869,,
121,4863,,
122,2757,,
123,6906,,
124,3217,,
125,2148,,
126,3512,,
127,2856,,
128,2509,,
129,339,,
130,4987,,
131,5966,,
132,3248,,
133,5502,,
134,2856,,
135,1388,,
136,63,,
137,7557,,
138,7258,,
139,6426,,
140,7213,,
141,2512,,
142,342,,
143,6009,,
144,1124,,
145,2320,,
146,5966,,
147,6324,,
148,5185,,
149,2512,,
150,3497,,
151,4987,,
152,2022,,
153,4384,,
154,3248,,
155,5502,,
156,2832,,
157,6009,,
158,4987,,
159,6324,,
160,2007,,
161,1170,,
162,5106,,
163,3497,,
164,2757,,
165,4623,,
166,7790,,
167,298,,
168,8021,,
169,3355,,
170,7258,,
171,5168,,
172,1297,,
173,1786,,
174,6426,,
175,4053,,
176,5319,,
177,7642,,
178,2320,,
179,2856,,
180,4384,,
181,728,,
182,7620,,
183,1329,,
184,7258,,
185,298,,
186,5024,,
187,2816,,
188,3512,,
189,5298,,
190,2499,,
191,2512,,
192,5024,,
193,2212,,
194,7557,,
195,7655,,
196,590,,
197,2757,,
198,4253,,
199,3217,,
200,6654,,
201,2022,,
202,3497,,
203,150,,
204,3217,,
205,840,,
206,1505,,
207,1119,,
208,3248,,
209,1168,,
210,5648,,
211,5915,,
212,1786,,
213,2509,,
214,1257,,
215,298,,
216,5006,,
217,5695,,
218,7620,,
219,7229,,
220,5319,,
221,7258,,
222,332,,
223,8021,,
224,7233,,
225,2856,,
226,3203,,
227,3502,,
228,6009,,
229,4717,,
230,5106,,
231,4863,,
232,2683,,
233,393,,
234,2509,,
235,6335,,
236,3248,,
237,3217,,
238,2683,,
239,2131,,
240,3497,,
241,912,,
242,3723,,
243,4384,,
