u,i1,i2,nl
0,1505,,
1,2683,,
2,7233,,
3,3668,,
4,4574,,
5,332,,
6,1119,,
7,5106,,
8,3723,,
9,4836,,
10,7233,,
11,4964,,
12,1093,,
13,7887,,
14,7470,,
15,800,,
16,8021,,
17,3502,,
18,4384,,
19,6324,,
20,3203,,
21,1505,,
22,3355,,
23,2856,,
24,7620,,
25,5006,,
26,5185,,
27,2757,,
28,7956,,
29,2512,,
30,1505,,
31,7946,,
32,1168,,
33,2148,,
34,728,,
35,1252,,
36,2131,,
37,7233,,
38,2856,,
39,728,,
40,800,,
41,5010,,
42,7655,,
43,2131,,
44,5106,,
45,1505,,
46,339,,
47,1388,,
48,2320,,
49,2757,,
50,4863,,
51,5058,,
52,339,,
53,2022,,
54,393,,
55,4231,,
56,4253,,
57,6906,,
58,1168,,
59,2001,,
60,6426,,
61,5648,,
62,7956,,
63,5825,,
64,3355,,
65,5168,,
66,5648,,
67,7470,,
68,3486,,
69,7655,,
70,2777,,
71,7642,,
72,2131,,
73,5024,,
74,2509,,
75,2512,,
76,1329,,
77,5825,,
78,2001,,
79,2809,,
80,5106,,
81,5319,,
82,2832,,
83,1124,,
84,1833,,
85,2777,,
86,4189,,
87,2499,,
88,6906,,
89,5825,,
90,3502,,
91,2683,,
92,6696,,
93,728,,
94,2512,,
95,2832,,
96,4384,,
97,2007,,
98,5010,,
99,2320,,
100,2816,,
101,3355,,
102,7258,,
103,5168,,
104,1043,,
105,7620,,
106,4623,,
107,2509,,
108,2378,,
109,7887,,
110,5825,,
111,3486,,
112,4863,,
113,4308,,
114,4836,,
115,6906,,
116,1093,,
117,342,,
118,5168,,
119,1043,,
120,912,,
121,4096,,
122,3484,,
123,3203,,
124,7557,,
125,4253,,
126,150,,
127,6276,,
128,1388,,
129,5106,,
130,7887,,
131,1511,,
132,3723,,
133,1257,,
134,5168,,
135,342,,
136,590,,
137,7655,,
138,4253,,
139,4987,,
140,5180,,
141,4623,,
142,4863,,
143,7449,,
144,5024,,
145,150,,
146,4253,,
147,2499,,
148,2320,,
149,5180,,
150,7790,,
151,8021,,
152,800,,
153,1093,,
154,2148,,
155,2007,,
156,3668,,
157,1388,,
158,1252,,
159,5024,,
160,6426,,
161,339,,
162,4836,,
163,1093,,
164,4096,,
165,1093,,
166,1170,,
167,2817,,
168,2817,,
169,332,,
170,4574,,
171,7620,,
172,7655,,
173,3668,,
174,1168,,
175,6426,,
176,2777,,
177,2832,,
178,2809,,
179,6906,,
180,7956,,
181,6906,,
182,7956,,
183,7655,,
184,2817,,
185,6654,,
186,7229,,
187,2856,,
188,5915,,
189,5010,,
190,63,,
191,5010,,
192,2683,,
