u,i1,i2,hl,nl
0,3203,,,
1,1910,,,
2,1329,,,
3,1119,,,
4,3668,,,
5,5168,,,
6,1910,,,
7,4964,,,
8,1093,,,
9,4863,,,
10,332,,,
11,2856,,,
12,3217,,,
13,7946,,,
14,3723,,,
15,7470,,,
16,3668,,,
17,3440,,,
18,7470,,,
19,63,,,
20,7557,,,
21,7449,,,
22,4253,,,
23,840,,,
24,1833,,,
25,1511,,,
26,8021,,,
27,1388,,,
28,3502,,,
29,2832,,,
30,2816,,,
31,4253,,,
32,332,,,
33,2832,,,
34,6654,,,
35,1910,,,
36,5006,,,
37,5298,,,
38,8021,,,
39,7470,,,
40,590,,,
41,5180,,,
42,6654,,,
43,2816,,,
44,3440,,,
45,1093,,,
46,5180,,,
47,6906,,,
48,6654,,,
49,1257,,,
50,3355,,,
51,4863,,,
52,4836,,,
53,1511,,,
54,1119,,,
55,1388,,,
56,342,,,
57,298,,,
58,1124,,,
59,2499,,,
60,335,,,
61,5168,,,
62,1329,,,
63,5006,,,
64,1257,,,
65,4253,,,
66,2509,,,
67,1168,,,
68,840,,,
69,5298,,,
70,3484,,,
71,393,,,
72,3502,,,
73,6654,,,
74,4623,,,
75,335,,,
76,5168,,,
77,7557,,,
78,7470,,,
79,5966,,,
80,1119,,,
81,1511,,,
82,2509,,,
83,3497,,,
84,2816,,,
85,2683,,,
86,3355,,,
87,7470,,,
88,1257,,,
89,7233,,,
90,5180,,,
91,5695,,,
92,5298,,,
93,1252,,,
94,1093,,,
95,1093,,,
96,5825,,,
97,4308,,,
98,7642,,,
99,2499,,,
100,4987,,,
101,5006,,,
102,5010,,,
103,1093,,,
104,6324,,,
105,1388,,,
106,342,,,
107,4987,,,
108,3668,,,
109,332,,,
110,1511,,,
111,3440,,,
112,7233,,,
113,5648,,,
114,5010,,,
115,840,,,
116,4836,,,
117,6324,,,
118,5966,,,
119,4964,,,
120,2131,,,
121,342,,,
122,2683,,,
123,298,,,
124,3497,,,
125,5648,,,
126,2509,,,
127,1329,,,
128,2832,,,
129,2683,,,
130,3184,,,
131,5966,,,
132,6654,,,
133,5648,,,
134,335,,,
135,6654,,,
136,3184,,,
137,2856,,,
138,7557,,,
139,1329,,,
140,1124,,,
141,7642,,,
142,3723,,,
143,3668,,,
144,4574,,,
145,6906,,,
146,332,,,
147,5915,,,
148,2509,,,
149,6906,,,
150,1833,,,
151,1257,,,
152,6906,,,
153,1388,,,
154,840,,,
155,4863,,,
156,1388,,,
157,7642,,,
158,3502,,,
159,5825,,,
160,5006,,,
161,3497,,,
162,7655,,,
163,6276,,,
164,2816,,,
165,5006,,,
166,1168,,,
167,3484,,,
168,7213,,,
169,2509,,,
170,2499,,,
171,3440,,,
172,6906,,,
173,4863,,,
174,5168,,,
175,1168,,,
176,3355,,,
177,590,,,
178,4863,,,
179,332,,,
180,5966,,,
181,2816,,,
182,1833,,,
183,3217,,,
184,332,,,
185,298,,,
186,6270,,,
187,1168,,,
188,298,,,
189,1124,,,
190,5319,,,
191,3184,,,
192,1124,,,
193,3502,,,
194,590,,,
195,7946,,,
196,1511,,,
197,332,,,
198,4987,,,
199,5185,,,
200,2499,,,
201,8021,,,
202,7470,,,
203,5695,,,
204,5006,,,
205,4308,,,
206,332,,,
207,4096,,,
208,1329,,,
209,3217,,,
210,332,,,
211,4717,,,
212,3502,,,
213,3497,,,
214,298,,,
215,7258,,,
216,393,,,
217,4964,,,
218,4623,,,
219,3184,,,
220,4623,,,
221,3502,,,
222,7258,,,
223,7449,,,
224,6324,,,
225,4964,,,
226,5319,,,
227,298,,,
228,590,,,
229,3184,,,
230,3668,,,
231,7946,,,
232,3668,,,
233,5185,,,
234,5319,,,
235,7449,,,
236,7946,,,
237,335,,,
238,342,,,
239,6276,,,
240,1329,,,
241,2509,,,
242,1910,,,
243,5168,,,
244,7449,,,
245,1124,,,
246,4623,,,
247,2148,,,
248,7367,,,
249,6654,,,
250,4574,,,
251,4964,,,
252,298,,,
253,3203,,,
254,6696,,,
255,4574,,,
256,2683,,,
257,2683,,,
258,332,,,
259,5648,,,
260,5180,,,
261,3484,,,
262,7367,,,
263,3440,,,
264,5695,,,
265,2832,,,
266,7233,,,
267,2320,,,
268,5006,,,
269,3440,,,
270,3502,,,
271,1329,,,
272,298,,,
273,3184,,,
274,1511,,,
275,1833,,,
276,7557,,,
277,3184,,,
278,5298,,,
279,2320,,,
280,1833,,,
281,3502,,,
282,5648,,,
283,590,,,
284,1257,,,
285,4717,,,
286,1511,,,
287,2816,,,
288,7258,,,
289,5648,,,
290,5695,,,
291,3355,,,
292,4717,,,
293,5180,,,
294,1168,,,
295,7233,,,
296,3723,,,
297,4987,,,
298,2509,,,
299,4623,,,
300,298,,,
301,3184,,,
302,1093,,,
303,5010,,,
304,5298,,,
305,1257,,,
306,5180,,,
307,5006,,,
308,6270,,,
309,7642,,,
310,3440,,,
311,3497,,,
312,840,,,
313,8021,,,
314,7233,,,
315,2131,,,
316,7655,,,
317,1093,,,
318,1124,,,
319,2816,,,
320,3484,,,
321,3355,,,
322,5010,,,
323,1833,,,
324,6270,,,
325,1388,,,
326,6324,,,
327,6654,,,
328,7470,,,
329,1168,,,
330,3203,,,
331,6696,,,
332,3203,,,
333,5319,,,
334,1252,,,
335,1252,,,
336,2499,,,
337,5966,,,
338,7213,,,
339,4987,,,
340,5006,,,
341,3484,,,
342,8021,,,
343,2816,,,
344,5825,,,
345,4836,,,
346,4964,,,
347,332,,,
348,5319,,,
349,5915,,,
350,3203,,,
351,7258,,,
352,2499,,,
353,3355,,,
354,1124,,,
355,4574,,,
356,1119,,,
357,4964,,,
358,3723,,,
359,6324,,,
360,1257,,,
361,4987,,,
362,2816,,,
363,7367,,,
364,5180,,,
365,2832,,,
366,4253,,,
367,2832,,,
368,332,,,
369,3668,,,
370,5825,,,
371,63,,,
372,4253,,,
373,7233,,,
374,800,,,
375,4308,,,
376,4717,,,
377,2509,,,
378,590,,,
379,5010,,,
380,1093,,,
381,4253,,,
382,342,,,
383,342,,,
384,3484,,,
385,7655,,,
386,5298,,,
387,393,,,
388,4623,,,
389,8021,,,
390,7449,,,
391,1388,,,
392,2320,,,
393,590,,,
394,4717,,,
395,5695,,,
396,1168,,,
397,2832,,,
398,5185,,,
399,800,,,
400,1119,,,
401,5648,,,
402,3723,,,
403,5319,,,
404,2131,,,
405,2856,,,
406,6276,,,
407,3203,,,
408,7449,,,
409,1093,,,
410,335,,,
411,5825,,,
412,4717,,,
413,1833,,,
414,4964,,,
415,4863,,,
416,7642,,,
417,3502,,,
418,7233,,,
419,7642,,,
420,7557,,,
421,1910,,,
422,1124,,,
423,3723,,,
424,6276,,,
425,4987,,,
426,3723,,,
427,6906,,,
428,1124,,,
429,800,,,
430,5319,,,
431,342,,,
432,2683,,,
433,2832,,,
434,2320,,,
435,4623,,,
436,7946,,,
437,5006,,,
438,7449,,,
439,2131,,,
440,1910,,,
441,5825,,,
442,7557,,,
443,4717,,,
444,2131,,,
445,1910,,,
446,3668,,,
447,6276,,,
448,1329,,,
449,1388,,,
450,3497,,,
451,590,,,
452,7213,,,
453,7946,,,
454,800,,,
455,7449,,,
456,2832,,,
457,7642,,,
458,3668,,,
459,7946,,,
460,8021,,,
461,1119,,,
462,4836,,,
463,2832,,,
464,7946,,,
465,7557,,,
466,4574,,,
467,4964,,,
468,3355,,,
469,3502,,,
470,2832,,,
471,6696,,,
472,2131,,,
473,3203,,,
474,2148,,,
475,393,,,
476,332,,,
477,4308,,,
478,5915,,,
479,1168,,,
480,3502,,,
481,393,,,
482,5648,,,
483,3217,,,
484,2509,,,
485,4623,,,
486,4623,,,
487,7470,,,
488,4987,,,
489,6276,,,
490,1511,,,
491,4623,,,
492,6276,,,
493,5695,,,
494,2320,,,
495,3203,,,
496,63,,,
497,6696,,,
498,7449,,,
499,3497,,,
500,2832,,,
501,5298,,,
502,2509,,,
503,6654,,,
504,3440,,,
505,5695,,,
506,3497,,,
507,1168,,,
508,1119,,,
509,4863,,,
510,1388,,,
511,4096,,,
512,7367,,,
513,7946,,,
514,6335,,,
515,7642,,,
516,5319,,,
517,5006,,,
518,2320,,,
519,3355,,,
520,1252,,,
521,7449,,,
522,7946,,,
523,5966,,,
524,1093,,,
525,3497,,,
526,6324,,,
527,5180,,,
528,4836,,,
529,5825,,,
530,2509,,,
531,1910,,,
532,2832,,,
533,1168,,,
534,298,,,
535,3497,,,
536,5825,,,
537,1119,,,
538,6906,,,
539,1252,,,
540,7233,,,
541,1257,,,
542,590,,,
543,3203,,,
544,1257,,,
545,7367,,,
546,7557,,,
547,1093,,,
548,3502,,,
549,5298,,,
550,1124,,,
551,1257,,,
552,2131,,,
553,3440,,,
554,7642,,,
555,2131,,,
556,3217,,,
557,1511,,,
558,5966,,,
559,2856,,,
560,342,,,
561,1093,,,
562,2499,,,
563,1329,,,
564,298,,,
565,1168,,,
566,3440,,,
567,6335,,,
568,8021,,,
569,7367,,,
570,7213,,,
571,393,,,
572,5298,,,
573,342,,,
574,2509,,,
575,5180,,,
576,1257,,,
577,2683,,,
578,332,,,
579,5915,,,
580,7213,,,
581,4863,,,
582,3497,,,
583,1119,,,
584,6335,,,
585,393,,,
586,3184,,,
587,3497,,,
588,3502,,,
589,1257,,,
590,5915,,,
591,1093,,,
592,1168,,,
593,590,,,
594,335,,,
595,6270,,,
596,332,,,
597,2832,,,
598,840,,,
599,4253,,,
600,5915,,,
601,2131,,,
602,4836,,,
603,840,,,
604,3203,,,
605,4623,,,
606,63,,,
607,3440,,,
608,2856,,,
609,1168,,,
610,3184,,,
611,298,,,
612,2148,,,
613,3217,,,
614,1124,,,
615,7233,,,
616,6276,,,
617,5185,,,
618,342,,,
619,5825,,,
620,5915,,,
621,7367,,,
622,4717,,,
623,3355,,,
624,2856,,,
625,5648,,,
626,3217,,,
627,7367,,,
628,1119,,,
629,3497,,,
630,5915,,,
631,1168,,,
632,6654,,,
633,6324,,,
634,4836,,,
635,3484,,,
636,3203,,,
637,7449,,,
638,4964,,,
639,1124,,,
640,4253,,,
641,4836,,,
642,4717,,,
643,2816,,,
644,5168,,,
645,1833,,,
646,3668,,,
647,7470,,,
648,5695,,,
649,393,,,
650,393,,,
651,6696,,,
652,8021,,,
653,3502,,,
654,5010,,,
655,3484,,,
656,4623,,,
657,7367,,,
658,1329,,,
659,3502,,,
660,8021,,,
661,840,,,
662,2856,,,
663,6335,,,
664,1119,,,
665,1252,,,
666,1910,,,
667,7258,,,
668,800,,,
669,5180,,,
670,6270,,,
671,6696,,,
672,590,,,
673,5180,,,
674,1511,,,
675,332,,,
676,2683,,,
677,2509,,,
678,5319,,,
679,3203,,,
680,6696,,,
681,6324,,,
682,2856,,,
683,4308,,,
684,4308,,,
685,1119,,,
686,6270,,,
687,7642,,,
688,4964,,,
689,1329,,,
690,7470,,,
691,7557,,,
692,4623,,,
693,2131,,,
694,800,,,
695,6906,,,
696,1833,,,
697,5966,,,
698,5185,,,
699,1833,,,
700,4863,,,
701,3484,,,
702,1388,,,
703,1388,,,
704,2148,,,
705,1511,,,
706,5695,,,
707,2832,,,
708,2320,,,
709,6324,,,
710,6335,,,
711,3502,,,
712,5180,,,
713,6906,,,
714,2816,,,
715,3502,,,
716,1329,,,
717,1910,,,
718,7642,,,
719,5180,,,
720,8021,,,
721,3723,,,
722,4964,,,
723,1252,,,
724,4863,,,
725,5825,,,
726,7367,,,
727,6276,,,
728,4717,,,
729,3502,,,
730,5319,,,
731,6324,,,
732,4863,,,
733,6906,,,
734,7642,,,
735,5006,,,
736,2509,,,
737,6270,,,
738,6654,,,
739,2856,,,
740,840,,,
741,4863,,,
742,3723,,,
743,1910,,,
744,6324,,,
745,3184,,,
746,800,,,
747,2856,,,
748,1833,,,
749,5825,,,
750,2320,,,
751,4574,,,
752,1093,,,
753,3502,,,
754,1833,,,
755,5319,,,
756,7213,,,
757,5168,,,
758,840,,,
759,6335,,,
760,2148,,,
761,840,,,
762,5168,,,
763,1168,,,
764,1511,,,
765,3668,,,
766,1252,,,
767,6696,,,
768,4308,,,
769,6654,,,
770,590,,,
771,1252,,,
772,2683,,,
773,5185,,,
774,5966,,,
775,6324,,,
776,3217,,,
777,2320,,,
778,6906,,,
779,6324,,,
780,3440,,,
781,7655,,,
782,4987,,,
783,7213,,,
784,4308,,,
785,1329,,,
786,3502,,,
787,1910,,,
788,1910,,,
789,7946,,,
790,7233,,,
791,6335,,,
792,1329,,,
793,4308,,,
794,4863,,,
795,800,,,
796,7213,,,
797,7655,,,
798,3668,,,
799,7655,,,
800,5185,,,
801,6276,,,
802,1910,,,
803,4253,,,
804,5915,,,
805,3184,,,
806,5648,,,
807,1168,,,
808,4253,,,
809,5825,,,
810,5185,,,
811,7367,,,
812,3723,,,
813,3440,,,
814,4623,,,
815,5825,,,
816,7946,,,
817,5185,,,
818,4623,,,
819,4717,,,
820,7946,,,
821,7449,,,
822,800,,,
823,6654,,,
824,3355,,,
825,2816,,,
826,2131,,,
827,2509,,,
828,5966,,,
829,1833,,,
830,5915,,,
831,5825,,,
832,4987,,,
833,7470,,,
834,1119,,,
835,4574,,,
836,2816,,,
837,5168,,,
838,6696,,,
839,5010,,,
840,7470,,,
841,3502,,,
842,342,,,
843,4623,,,
844,7367,,,
845,7642,,,
846,1168,,,
847,4308,,,
848,5185,,,
849,5185,,,
850,4964,,,
851,6270,,,
852,63,,,
853,5319,,,
854,3184,,,
855,7258,,,
856,1329,,,
857,2499,,,
858,3355,,,
859,5825,,,
860,3502,,,
861,6335,,,
862,5168,,,
863,2832,,,
864,298,,,
865,590,,,
866,7449,,,
867,6654,,,
868,2683,,,
869,6654,,,
870,2832,,,
871,2509,,,
872,4717,,,
873,4717,,,
874,63,,,
875,393,,,
876,5185,,,
877,4717,,,
878,335,,,
879,6324,,,
880,5006,,,
881,5168,,,
882,7557,,,
883,4717,,,
884,298,,,
885,5180,,,
886,4096,,,
887,7470,,,
888,7470,,,
889,6696,,,
890,5695,,,
891,1168,,,
892,4096,,,
893,7367,,,
894,3484,,,
895,6324,,,
896,4863,,,
897,7258,,,
898,1910,,,
899,5915,,,
900,6324,,,
901,3723,,,
902,2320,,,
903,6270,,,
904,7557,,,
905,3723,,,
906,2509,,,
907,5966,,,
908,800,,,
909,1388,,,
910,4096,,,
911,3723,,,
912,2499,,,
913,5185,,,
914,3723,,,
915,1833,,,
916,5006,,,
917,8021,,,
918,3440,,,
919,5915,,,
920,1257,,,
921,5966,,,
922,3184,,,
923,3355,,,
924,2131,,,
925,7213,,,
926,8021,,,
927,4987,,,
928,332,,,
929,5180,,,
930,4574,,,
931,7367,,,
932,2148,,,
933,4253,,,
934,4253,,,
935,1168,,,
936,7946,,,
937,5006,,,
938,800,,,
939,7655,,,
940,1329,,,
941,3217,,,
942,5180,,,
943,6324,,,
944,2131,,,
945,4574,,,
946,1388,,,
947,4574,,,
948,2683,,,
949,3497,,,
950,3203,,,
951,7557,,,
952,7449,,,
953,6324,,,
954,7470,,,
955,6270,,,
956,5915,,,
957,7642,,,
958,5010,,,
959,393,,,
960,8021,,,
961,1257,,,
962,6335,,,
963,5966,,,
964,2320,,,
965,1257,,,
966,590,,,
967,1119,,,
968,5915,,,
969,3502,,,
970,5966,,,
971,7213,,,
972,6335,,,
973,335,,,
974,1511,,,
975,335,,,
976,5966,,,
977,6696,,,
978,4253,,,
979,3497,,,
980,7946,,,
981,5180,,,
982,1910,,,
983,2148,,,
984,5006,,,
985,5915,,,
986,4574,,,
987,2816,,,
988,5010,,,
989,5010,,,
990,332,,,
991,335,,,
992,2148,,,
993,2856,,,
994,3497,,,
995,4308,,,
996,6906,,,
997,2320,,,
998,6324,,,
999,2509,,,
