u,i1,i2,nl
0,1505.0,,
1,2683.0,,
2,7233.0,,
3,3668.0,,
4,4574.0,,
5,332.0,,
6,1119.0,,
7,5106.0,,
8,3723.0,,
9,4836.0,,
10,7233.0,,
11,4964.0,,
12,1093.0,,
13,7887.0,,
14,7470.0,,
15,800.0,,
16,8021.0,,
17,3502.0,,
18,4384.0,,
19,6324.0,,
20,3203.0,,
21,1505.0,,
22,3355.0,,
23,2856.0,,
24,7620.0,,
25,5006.0,,
26,5185.0,,
27,2757.0,,
28,7956.0,,
29,2512.0,,
30,1505.0,,
31,7946.0,,
32,1168.0,,
33,2148.0,,
34,728.0,,
35,1252.0,,
36,2131.0,,
37,7233.0,,
38,2856.0,,
39,728.0,,
40,800.0,,
41,5010.0,,
42,7655.0,,
43,2131.0,,
44,5106.0,,
45,1505.0,,
46,339.0,,
47,1388.0,,
48,2320.0,,
49,2757.0,,
50,4863.0,,
51,5058.0,,
52,339.0,,
53,2022.0,,
54,393.0,,
55,4231.0,,
56,4253.0,,
57,6906.0,,
58,1168.0,,
59,2001.0,,
60,6426.0,,
61,5648.0,,
62,7956.0,,
63,5825.0,,
64,3355.0,,
65,5168.0,,
66,5648.0,,
67,7470.0,,
68,3486.0,,
69,7655.0,,
70,2777.0,,
71,7642.0,,
72,2131.0,,
73,5024.0,,
74,2509.0,,
75,2512.0,,
76,1329.0,,
77,5825.0,,
78,2001.0,,
79,2809.0,,
80,5106.0,,
81,5319.0,,
82,2832.0,,
83,1124.0,,
84,1833.0,,
85,2777.0,,
86,4189.0,,
87,2499.0,,
88,6906.0,,
89,5825.0,,
90,3502.0,,
91,2683.0,,
92,6696.0,,
93,728.0,,
94,2512.0,,
95,2832.0,,
96,4384.0,,
97,2007.0,,
98,5010.0,,
99,2320.0,,
100,2816.0,,
101,3355.0,,
102,7258.0,,
103,5168.0,,
104,1043.0,,
105,7620.0,,
106,4623.0,,
107,2509.0,,
108,2378.0,,
109,7887.0,,
110,5825.0,,
111,3486.0,,
112,4863.0,,
113,4308.0,,
114,4836.0,,
115,6906.0,,
116,1093.0,,
117,342.0,,
118,5168.0,,
119,1043.0,,
120,912.0,,
121,4096.0,,
122,3484.0,,
123,3203.0,,
124,7557.0,,
125,,6270.0,
126,,6270.0,
127,,840.0,
128,,4253.0,
129,,840.0,
130,,1093.0,
131,,6270.0,
132,,7655.0,
133,,6270.0,
134,,2499.0,
135,,5006.0,
136,,840.0,
137,,3203.0,
138,,5006.0,
139,,6906.0,
140,,2499.0,
141,,4623.0,
142,,840.0,
143,,3217.0,
144,,6270.0,
145,,6270.0,
146,,4717.0,
147,,6270.0,
148,,6270.0,
149,,6270.0,
150,,5010.0,
151,,4717.0,
152,,6906.0,
153,,6270.0,
154,,5006.0,
155,,6270.0,
156,,3203.0,
157,,2499.0,
158,,6270.0,
159,,5180.0,
160,,6270.0,
161,,2499.0,
162,,840.0,
163,,6270.0,
164,,1910.0,
165,,7655.0,
166,,840.0,
167,,6270.0,
168,,7655.0,
169,,7655.0,
170,,2683.0,
171,,5319.0,
172,,63.0,
173,,840.0,
174,,840.0,
175,,3184.0,
176,,4717.0,
177,,7655.0,
