u,i1,i2,nl
0,,,"[204.8, 5.0, 9.0, 26.0, 24.0, 2.0, 10.0]"
1,,,"[78.3, 0.0, 38.0, 6.0, 4.0, 0.0, 6.0]"
2,,,"[132.3, 11.0, 39.0, 5.0, 4.0, 11.0, 5.0]"
3,,,"[29.4, 0.0, 23.0, 4.0, 0.0, 0.0, 2.0]"
4,,,"[90.4, 6.0, 27.0, 4.0, 1.0, 11.0, 4.0]"
5,,,"[206.4, 0.0, 201.0, 0.0, 1.0, 0.0, 18.0]"
6,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
7,,,"[442.8, 2.0, 85.0, 65.0, 58.0, 2.0, 25.0]"
8,,,"[126.9, 2.0, 8.0, 24.0, 8.0, 1.0, 7.0]"
9,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
10,,,"[62.5, 3.0, 22.0, 16.0, 2.0, 7.0, 3.0]"
11,,,"[606.5, 65.0, 12.0, 34.0, 65.0, 83.0, 7.0]"
12,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
13,,,"[428.4, 32.0, 28.0, 55.0, 93.0, 30.0, 3.0]"
14,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
15,,,"[95.3, 1.0, 50.0, 16.0, 5.0, 0.0, 7.0]"
16,,,"[84.7, 11.0, 1.0, 6.0, 7.0, 21.0, 0.0]"
17,,,"[28.3, 0.0, 26.0, 0.0, 0.0, 0.0, 2.0]"
18,,,"[182.4, 2.0, 50.0, 7.0, 11.0, 1.0, 13.0]"
19,,,"[61.8, 0.0, 42.0, 7.0, 0.0, 0.0, 5.0]"
20,,,"[36.5, 0.0, 16.0, 0.0, 3.0, 0.0, 2.0]"
21,,,"[549.0, 40.0, 41.0, 20.0, 38.0, 34.0, 20.0]"
22,,,"[159.0, 2.0, 8.0, 13.0, 18.0, 1.0, 9.0]"
23,,,"[42.7, 0.0, 9.0, 97.0, 4.0, 0.0, 3.0]"
24,,,"[262.9, 23.0, 95.0, 6.0, 6.0, 40.0, 9.0]"
25,,,"[32.2, 5.0, 0.0, 0.0, 0.0, 2.0, 0.0]"
26,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
27,,,"[23.6, 2.0, 4.0, 3.0, 0.0, 1.0, 0.0]"
28,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
29,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
30,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
31,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
32,,,"[54.6, 7.0, 0.0, 10.0, 2.0, 14.0, 0.0]"
33,,,"[262.9, 23.0, 95.0, 6.0, 6.0, 40.0, 9.0]"
34,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
35,,,"[52.4, 0.0, 22.0, 2.0, 2.0, 1.0, 4.0]"
36,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
37,,,"[97.4, 2.0, 9.0, 5.0, 28.0, 2.0, 1.0]"
38,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
39,,,"[155.2, 5.0, 61.0, 10.0, 6.0, 8.0, 9.0]"
40,,,"[272.2, 22.0, 10.0, 20.0, 50.0, 42.0, 3.0]"
41,,,"[51.3, 4.0, 15.0, 0.0, 1.0, 2.0, 1.0]"
42,,,"[272.2, 22.0, 10.0, 20.0, 50.0, 42.0, 3.0]"
43,,,"[50.3, 2.0, 22.0, 0.0, 0.0, 1.0, 2.0]"
44,,,"[97.4, 2.0, 9.0, 5.0, 28.0, 2.0, 1.0]"
45,,,"[97.4, 2.0, 9.0, 5.0, 28.0, 2.0, 1.0]"
46,,,"[55.4, 0.0, 15.0, 14.0, 13.0, 0.0, 2.0]"
47,,,"[164.7, 20.0, 10.0, 11.0, 0.0, 9.0, 3.0]"
48,,,"[103.5, 4.0, 10.0, 13.0, 7.0, 4.0, 5.0]"
49,,,"[41.9, 4.0, 9.0, 0.0, 3.0, 2.0, 1.0]"
