u,i1,i2,nl
0,1043,,
1,3497,,
2,5298,,
3,6270,,
4,1505,,
5,7449,,
6,7655,,
7,1170,,
8,4384,,
9,869,,
10,5010,,
11,5058,,
12,728,,
13,2816,,
14,7642,,
15,2001,,
16,2007,,
17,298,,
18,7620,,
19,7470,,
20,4836,,
21,3512,,
22,3203,,
23,3502,,
24,5966,,
25,5825,,
26,7557,,
27,7229,,
28,5966,,
29,4384,,
30,2816,,
31,7956,,
32,3484,,
33,2320,,
34,800,,
35,1511,,
36,2809,,
37,7367,,
38,3399,,
39,840,,
40,4574,,
41,3502,,
42,5024,,
43,4863,,
44,3355,,
45,4308,,
46,335,,
47,5298,,
48,6426,,
49,4053,,
50,6654,,
51,7620,,
52,7946,,
53,4964,,
54,2809,,
55,4308,,
56,4964,,
57,4384,,
58,5058,,
59,6906,,
60,3486,,
61,1093,,
62,5298,,
63,1388,,
64,7470,,
65,728,,
66,2212,,
67,2148,,
68,6276,,
69,1124,,
70,63,,
71,7790,,
72,2200,,
73,2007,,
74,393,,
75,6906,,
76,2509,,
77,5058,,
78,3248,,
79,728,,
80,2007,,
81,5106,,
82,2212,,
83,4384,,
84,5106,,
85,1388,,
86,4987,,
87,6696,,
88,1910,,
89,2212,,
90,3668,,
91,5966,,
92,7956,,
93,4096,,
94,2832,,
95,1043,,
96,7655,,
97,7642,,
98,5106,,
99,7655,,
100,5180,,
101,7946,,
102,2200,,
103,342,,
104,2816,,
105,5058,,
106,5319,,
107,3502,,
108,6324,,
109,6654,,
110,7470,,
111,3203,,
112,6696,,
113,5058,,
114,1786,,
115,7258,,
116,2809,,
117,393,,
118,1119,,
119,2757,,
120,4987,,
121,2816,,
122,728,,
123,150,,
124,4863,,
125,2816,,
126,1910,,
127,3248,,
128,6009,,
129,7956,,
130,1043,,
131,393,,
132,8021,,
133,1252,,
134,7620,,
135,4623,,
136,4574,,
137,2378,,
138,3440,,
139,1093,,
140,2212,,
141,7557,,
142,5825,,
143,3497,,
144,7946,,
145,2757,,
146,6426,,
147,2509,,
148,2856,,
149,2022,,
150,7956,,
151,590,,
152,5168,,
153,1505,,
154,7229,,
155,3399,,
156,7956,,
157,3484,,
158,4836,,
159,7233,,
160,2148,,
161,3184,,
162,6335,,
163,2200,,
164,1511,,
165,7642,,
166,3203,,
167,800,,
168,6324,,
169,869,,
170,590,,
171,2809,,
172,4096,,
173,5695,,
174,3512,,
175,800,,
176,4096,,
177,800,,
178,4623,,
179,6426,,
180,1043,,
181,3497,,
182,6270,,
183,1786,,
184,3512,,
185,7642,,
186,63,,
187,2001,,
188,2832,,
189,6270,,
190,6009,,
191,335,,
192,1093,,
193,3217,,
194,2001,,
195,2683,,
196,1297,,
197,1388,,
198,4717,,
199,5695,,
200,2212,,
201,1043,,
202,4964,,
203,7620,,
204,1297,,
205,4189,,
206,3355,,
207,2777,,
208,4964,,
209,2148,,
210,6276,,
211,3184,,
212,7620,,
213,1252,,
214,335,,
215,7620,,
216,342,,
217,590,,
218,1786,,
219,2509,,
220,840,,
221,4836,,
222,912,,
223,5024,,
224,3723,,
225,1124,,
226,3355,,
227,339,,
228,869,,
229,4308,,
230,800,,
231,1910,,
232,5915,,
233,7655,,
234,3217,,
235,2777,,
236,342,,
237,3248,,
238,3484,,
239,342,,
240,2148,,
241,7790,,
242,393,,
243,4189,,
244,2022,,
245,2131,,
246,4964,,
247,7887,,
248,4231,,
249,3440,,
250,2001,,
251,1124,,
252,5058,,
253,7642,,
254,3484,,
255,2200,,
256,4308,,
257,7258,,
258,1119,,
259,1093,,
260,1170,,
261,590,,
262,2378,,
263,1505,,
264,6335,,
265,912,,
266,4863,,
267,5825,,
268,7233,,
269,2856,,
270,2856,,
271,6335,,
272,6009,,
273,590,,
274,4096,,
275,7470,,
276,1910,,
277,3355,,
278,2856,,
279,6335,,
280,1119,,
281,728,,
282,1297,,
283,590,,
284,6696,,
285,150,,
286,3248,,
287,339,,
288,3355,,
289,7233,,
290,6906,,
291,5106,,
292,7620,,
293,4717,,
294,1252,,
295,5915,,
296,6335,,
297,2777,,
298,6426,,
299,6906,,
300,3723,,
301,1297,,
302,3512,,
303,3497,,
304,298,,
305,3512,,
306,2509,,
307,5106,,
308,150,,
309,1786,,
310,4836,,
311,7258,,
312,4574,,
313,590,,
314,1786,,
315,2320,,
316,150,,
317,2512,,
318,5502,,
319,4836,,
320,1297,,
321,339,,
322,2757,,
323,4053,,
324,4096,,
325,7367,,
326,150,,
327,2320,,
328,7956,,
329,2131,,
330,3723,,
331,2001,,
332,2817,,
333,590,,
334,912,,
335,5298,,
336,1388,,
337,3502,,
338,6696,,
339,1093,,
340,4189,,
341,5106,,
342,4717,,
343,1786,,
344,2817,,
345,2007,,
346,2777,,
347,840,,
348,2512,,
349,7449,,
350,2212,,
351,6696,,
352,4574,,
353,2816,,
354,2001,,
355,5966,,
356,1786,,
357,5298,,
358,332,,
359,4253,,
360,912,,
361,7229,,
362,7655,,
363,1252,,
364,840,,
365,4189,,
366,2757,,
367,2817,,
368,4189,,
369,7620,,
370,1511,,
371,5180,,
372,2022,,
373,2148,,
374,4623,,
375,3440,,
376,5185,,
377,4574,,
378,5298,,
379,63,,
380,1119,,
381,5298,,
382,5010,,
383,2200,,
384,3399,,
385,7642,,
386,7449,,
387,2131,,
388,2817,,
389,1505,,
390,2022,,
391,590,,
392,3668,,
393,2683,,
394,2022,,
395,1297,,
396,7367,,
397,5168,,
398,5319,,
399,2378,,
400,1511,,
401,1124,,
402,4096,,
403,4964,,
404,1119,,
405,1833,,
406,2512,,
407,1257,,
408,7790,,
409,2007,,
410,5058,,
411,6696,,
412,2832,,
413,1124,,
414,3184,,
415,4574,,
416,335,,
417,5168,,
418,7557,,
419,5298,,
420,2757,,
421,7470,,
422,3217,,
423,2817,,
424,3440,,
425,2007,,
426,3440,,
427,590,,
428,6276,,
429,3668,,
430,7470,,
431,335,,
432,1252,,
433,2809,,
434,3502,,
435,332,,
436,1124,,
437,2212,,
438,7790,,
439,1170,,
440,63,,
441,339,,
442,3668,,
443,1119,,
444,2509,,
445,2816,,
446,6696,,
447,4623,,
448,2007,,
449,728,,
450,2777,,
451,5010,,
452,7642,,
453,7790,,
454,2131,,
455,7229,,
456,6270,,
457,3502,,
458,150,,
459,2378,,
460,1168,,
461,7449,,
462,5024,,
463,4623,,
464,7233,,
465,1124,,
466,7557,,
467,332,,
468,2320,,
469,7620,,
470,1124,,
471,5185,,
472,7367,,
473,393,,
474,2757,,
475,4384,,
476,4308,,
477,3399,,
478,1124,,
479,3512,,
480,3248,,
481,5058,,
482,5058,,
483,63,,
484,2320,,
485,7233,,
486,2001,,
487,7887,,
488,5825,,
489,5298,,
490,7956,,
491,3217,,
492,1388,,
493,7946,,
494,63,,
495,7790,,
496,3486,,
497,2512,,
498,5058,,
499,2856,,
500,6270,,
501,1043,,
502,2757,,
503,4231,,
504,840,,
505,1119,,
506,339,,
507,2320,,
508,5648,,
509,2007,,
510,7233,,
511,800,,
512,6335,,
513,2148,,
514,6270,,
515,6009,,
516,5010,,
517,3355,,
518,912,,
519,2212,,
520,6276,,
521,2212,,
522,2809,,
523,4964,,
524,4574,,
525,800,,
526,7258,,
527,6324,,
528,2512,,
529,912,,
530,8021,,
531,7655,,
532,6335,,
533,4053,,
534,5298,,
535,5024,,
536,4574,,
537,298,,
538,4189,,
539,3668,,
540,4964,,
541,1124,,
542,3497,,
543,393,,
544,5024,,
545,4189,,
546,5010,,
547,6906,,
548,6906,,
549,2856,,
550,2777,,
551,4253,,
552,2320,,
553,4384,,
554,4964,,
555,728,,
556,5298,,
557,5502,,
558,6335,,
559,4231,,
560,3217,,
561,590,,
562,5168,,
563,6324,,
564,7790,,
565,5825,,
566,5319,,
567,2832,,
568,3184,,
569,4189,,
570,1833,,
571,2809,,
572,339,,
573,1910,,
574,7449,,
575,393,,
576,4053,,
577,3355,,
578,1257,,
579,5006,,
580,5058,,
581,298,,
582,1043,,
583,6696,,
584,2001,,
585,800,,
586,3484,,
587,5106,,
588,4253,,
589,1168,,
590,5106,,
591,7620,,
592,5502,,
593,2200,,
594,339,,
595,7956,,
596,2509,,
597,6696,,
598,7887,,
599,3217,,
600,7887,,
601,5298,,
602,2148,,
603,7946,,
604,1505,,
605,7887,,
606,4836,,
607,2378,,
608,4574,,
609,5010,,
610,7470,,
611,7229,,
612,150,,
613,7956,,
614,5024,,
615,1252,,
616,5298,,
617,2499,,
618,2320,,
619,2212,,
620,1786,,
621,728,,
622,5966,,
623,1119,,
624,4308,,
625,393,,
626,7642,,
627,6696,,
628,1257,,
629,5185,,
630,7642,,
631,7642,,
632,3484,,
633,3668,,
634,4717,,
635,4717,,
636,2200,,
637,8021,,
638,5168,,
639,1252,,
640,4717,,
641,1833,,
642,2007,,
643,912,,
644,63,,
645,7367,,
646,2809,,
647,5966,,
648,6324,,
649,728,,
650,7213,,
651,5106,,
652,1170,,
653,7956,,
654,1505,,
655,2777,,
656,2499,,
657,1329,,
658,3512,,
659,800,,
660,339,,
661,4623,,
662,3502,,
663,2777,,
664,7557,,
665,5180,,
666,7956,,
667,7213,,
668,3497,,
669,5058,,
670,1511,,
671,150,,
672,2817,,
673,7790,,
674,2200,,
675,590,,
676,2683,,
677,3668,,
678,5185,,
679,728,,
680,335,,
681,3486,,
682,2856,,
683,3497,,
684,3668,,
685,2777,,
686,2499,,
687,5825,,
688,2856,,
689,1168,,
690,2022,,
691,2817,,
692,869,,
693,1124,,
694,2499,,
695,7233,,
696,2509,,
697,6324,,
698,6324,,
699,2378,,
700,5185,,
701,2809,,
702,4096,,
703,7258,,
704,2148,,
705,2832,,
706,1329,,
707,7620,,
708,7655,,
709,1168,,
710,2378,,
711,150,,
712,5695,,
713,1252,,
714,2320,,
715,3248,,
716,3512,,
717,590,,
718,5695,,
719,5180,,
720,298,,
721,7233,,
722,4053,,
723,150,,
724,5915,,
725,5319,,
726,4574,,
727,3484,,
728,1833,,
729,5058,,
730,1505,,
731,339,,
732,5185,,
733,7367,,
734,3355,,
735,6270,,
736,2757,,
737,7655,,
738,5695,,
739,7557,,
740,3355,,
741,869,,
742,3668,,
743,2509,,
744,5319,,
745,5180,,
746,4623,,
747,335,,
748,2832,,
749,7642,,
750,335,,
751,2509,,
752,1168,,
753,869,,
754,5180,,
755,335,,
756,3440,,
757,150,,
758,2022,,
759,5106,,
760,800,,
761,840,,
762,63,,
763,5966,,
764,3203,,
765,2683,,
766,5966,,
767,5185,,
768,5502,,
769,3497,,
770,5966,,
