u,i1,i2,hl,nl
0,5298,,,
1,2320,,,
2,4717,,,
3,7557,,,
4,6324,,,
5,4836,,,
6,4836,,,
7,7470,,,
8,7642,,,
9,7233,,,
10,4574,,,
11,4253,,,
12,8021,,,
13,5966,,,
14,5966,,,
15,6276,,,
16,5915,,,
17,4253,,,
18,3723,,,
19,6276,,,
20,2148,,,
21,2683,,,
22,4987,,,
23,1093,,,
24,3723,,,
25,1257,,,
26,5695,,,
27,3184,,,
28,5298,,,
29,5006,,,
30,8021,,,
31,6270,,,
32,4096,,,
33,342,,,
34,1910,,,
35,5695,,,
36,5319,,,
37,2320,,,
38,5298,,,
39,4623,,,
40,3440,,,
41,5966,,,
42,7655,,,
43,2856,,,
44,5825,,,
45,5185,,,
46,4308,,,
47,7367,,,
48,1388,,,
49,3497,,,
50,4717,,,
51,3217,,,
52,2320,,,
53,1329,,,
54,1329,,,
55,5915,,,
56,800,,,
57,5825,,,
58,5319,,,
59,4717,,,
60,1833,,,
61,1168,,,
62,3484,,,
63,7258,,,
64,5648,,,
65,5695,,,
66,2320,,,
67,2509,,,
68,3355,,,
69,4096,,,
70,6696,,,
71,3355,,,
72,4987,,,
73,5915,,,
74,4863,,,
75,2683,,,
76,3484,,,
77,2832,,,
78,2131,,,
79,4253,,,
80,5695,,,
81,342,,,
82,4836,,,
83,840,,,
84,3184,,,
85,6324,,,
86,1168,,,
87,5168,,,
88,2320,,,
89,4987,,,
90,4308,,,
91,1388,,,
92,6276,,,
93,3723,,,
94,3184,,,
95,3668,,,
96,7946,,,
97,1252,,,
98,2816,,,
99,7449,,,
100,7449,,,
101,2856,,,
102,5185,,,
103,2816,,,
104,840,,,
105,2856,,,
106,6906,,,
107,5966,,,
108,1388,,,
109,3497,,,
110,5825,,,
111,1119,,,
112,4574,,,
113,4308,,,
114,63,,,
115,5695,,,
116,2320,,,
117,3497,,,
118,590,,,
119,3484,,,
120,5966,,,
121,1910,,,
122,1252,,,
123,5915,,,
124,5010,,,
125,4987,,,
126,1124,,,
127,4717,,,
128,6906,,,
129,2148,,,
130,1329,,,
131,1910,,,
132,4253,,,
133,7557,,,
134,5966,,,
135,1252,,,
136,5915,,,
137,1910,,,
138,6335,,,
139,7946,,,
140,5298,,,
141,342,,,
142,4717,,,
143,3723,,,
144,5006,,,
145,3484,,,
146,1124,,,
147,3484,,,
148,2131,,,
149,3184,,,
150,1511,,,
151,7449,,,
152,7258,,,
153,3497,,,
154,1329,,,
155,1093,,,
156,7258,,,
157,2320,,,
158,3668,,,
159,2320,,,
160,840,,,
161,4623,,,
162,4574,,,
163,4308,,,
164,3723,,,
165,7258,,,
166,4964,,,
167,3355,,,
168,332,,,
169,7258,,,
170,2509,,,
171,5825,,,
172,7655,,,
173,3440,,,
174,3668,,,
175,6276,,,
176,5915,,,
177,5006,,,
178,7258,,,
179,6335,,,
180,7557,,,
181,1168,,,
182,3502,,,
183,8021,,,
184,3203,,,
185,3203,,,
186,6324,,,
187,332,,,
188,6276,,,
189,7233,,,
190,7946,,,
191,3484,,,
192,298,,,
193,3497,,,
194,3497,,,
195,3184,,,
196,4863,,,
197,4623,,,
198,1329,,,
199,2509,,,
200,1119,,,
201,6270,,,
202,3484,,,
203,1388,,,
204,2320,,,
205,4574,,,
206,4308,,,
207,5168,,,
208,1124,,,
209,342,,,
210,5185,,,
211,6696,,,
212,298,,,
213,3484,,,
214,840,,,
215,7655,,,
216,5915,,,
217,6276,,,
218,1252,,,
219,5168,,,
220,63,,,
221,840,,,
222,4836,,,
223,7470,,,
224,1124,,,
225,3184,,,
226,3440,,,
227,4096,,,
228,7946,,,
229,1329,,,
230,2509,,,
231,3484,,,
232,2816,,,
233,4623,,,
234,1833,,,
235,1257,,,
236,5298,,,
237,5185,,,
238,840,,,
239,5825,,,
240,7233,,,
241,342,,,
242,63,,,
243,2832,,,
244,3440,,,
245,1252,,,
246,7557,,,
247,63,,,
248,3502,,,
249,298,,,
250,7258,,,
251,5825,,,
252,7367,,,
253,5915,,,
254,2856,,,
255,7367,,,
256,840,,,
257,4717,,,
258,1329,,,
259,3668,,,
260,5915,,,
261,4253,,,
262,6654,,,
263,1910,,,
264,5006,,,
265,7258,,,
266,3497,,,
267,6270,,,
268,3440,,,
269,2148,,,
270,1252,,,
271,1252,,,
272,4987,,,
273,7213,,,
274,1252,,,
275,5185,,,
276,4574,,,
277,5010,,,
278,1329,,,
279,4574,,,
280,4717,,,
281,2816,,,
282,2320,,,
283,4863,,,
284,5648,,,
285,590,,,
286,3440,,,
287,2509,,,
288,6906,,,
289,6324,,,
290,7449,,,
291,590,,,
292,2499,,,
293,4253,,,
294,5180,,,
295,4964,,,
296,1388,,,
297,5966,,,
298,4308,,,
299,3184,,,
300,3668,,,
301,5168,,,
302,2832,,,
303,3184,,,
304,3502,,,
305,1329,,,
306,332,,,
307,393,,,
308,5298,,,
309,6270,,,
310,3484,,,
311,7946,,,
312,3203,,,
313,4308,,,
314,4253,,,
315,7655,,,
316,3497,,,
317,3668,,,
318,5825,,,
319,5648,,,
320,2131,,,
321,6270,,,
322,2683,,,
323,1388,,,
324,5319,,,
325,5915,,,
326,2131,,,
327,6696,,,
328,5915,,,
329,335,,,
330,4836,,,
331,7258,,,
332,7367,,,
333,4717,,,
334,7449,,,
335,5168,,,
336,4717,,,
337,5319,,,
338,3502,,,
339,2832,,,
340,3184,,,
341,7470,,,
342,332,,,
343,5168,,,
344,2683,,,
345,1329,,,
346,6276,,,
347,5168,,,
348,2683,,,
349,1093,,,
350,840,,,
351,3184,,,
352,7946,,,
353,2148,,,
354,2683,,,
355,5298,,,
356,3203,,,
357,4987,,,
358,342,,,
359,6335,,,
360,7946,,,
361,335,,,
362,5185,,,
363,5319,,,
364,3668,,,
365,4253,,,
366,2509,,,
367,4863,,,
368,7258,,,
369,1124,,,
370,3484,,,
371,6276,,,
372,4096,,,
373,5168,,,
374,5695,,,
375,590,,,
376,3484,,,
377,7258,,,
378,7655,,,
379,2509,,,
380,5168,,,
381,4623,,,
382,4964,,,
383,5648,,,
384,7449,,,
385,3484,,,
386,3668,,,
387,4574,,,
388,8021,,,
389,4574,,,
390,6335,,,
391,1511,,,
392,3217,,,
393,1124,,,
394,1257,,,
395,3184,,,
396,393,,,
397,1257,,,
398,3440,,,
399,1252,,,
400,2856,,,
401,5695,,,
402,4717,,,
403,7557,,,
404,5180,,,
405,1833,,,
406,7557,,,
407,6324,,,
408,3217,,,
409,5825,,,
410,7449,,,
411,3440,,,
412,7642,,,
413,1124,,,
414,5915,,,
415,342,,,
416,1833,,,
417,1511,,,
418,840,,,
419,5298,,,
420,590,,,
421,2148,,,
422,298,,,
423,3484,,,
424,5298,,,
425,6324,,,
426,6696,,,
427,2320,,,
428,4096,,,
429,7642,,,
430,5695,,,
431,2131,,,
432,6270,,,
433,2683,,,
434,4836,,,
435,4964,,,
436,3497,,,
437,3440,,,
438,1257,,,
