u,i1,i2,hl,nl
0,,2499,,
1,,5010,,
2,,840,,
3,,6654,,
4,,6906,,
5,,840,,
6,,2499,,
7,,840,,
8,,2499,,
9,,2499,,
10,,332,,
11,,2499,,
12,,840,,
13,,2499,,
14,,840,,
15,,2499,,
16,,7655,,
17,,7213,,
18,,2499,,
19,,4717,,
20,,63,,
21,,840,,
22,,840,,
23,,2499,,
24,,3203,,
25,,63,,
26,,2499,,
27,,5010,,
28,,2499,,
29,,2499,,
30,,2499,,
31,,2499,,
32,,3203,,
33,,840,,
34,,2499,,
35,,840,,
36,,2499,,
37,,1168,,
38,,2499,,
39,,800,,
40,,840,,
41,,3184,,
42,,6906,,
43,,800,,
44,,2499,,
45,,840,,
46,,332,,
47,,5006,,
48,,840,,
49,,2499,,
50,,7655,,
51,,5319,,
52,,3203,,
53,,4717,,
54,,5006,,
55,,335,,
56,,7470,,
57,,5006,,
58,,2499,,
59,,840,,
60,,840,,
61,,5006,,
62,,5006,,
63,,5006,,
64,,5010,,
65,,4717,,
66,,840,,
67,,63,,
68,,5010,,
69,,3184,,
70,,2499,,
71,,63,,
72,,4717,,
73,,3203,,
74,,2499,,
75,,7655,,
76,,840,,
77,,7449,,
78,,5319,,
79,,840,,
80,,5319,,
81,,5010,,
82,,4623,,
83,,840,,
84,,5010,,
85,,2683,,
86,,2499,,
87,,840,,
88,,840,,
89,,3203,,
90,,840,,
91,,4717,,
92,,840,,
93,,840,,
94,,2757,,
95,,5010,,
96,,5006,,
97,,63,,
98,,2683,,
99,,6906,,
100,,7449,,
101,,5010,,
102,,2499,,
103,,1252,,
104,,4717,,
105,,4717,,
106,,5010,,
107,,332,,
108,,4623,,
109,,6335,,
110,,7557,,
111,,5010,,
112,,6276,,
113,,2499,,
114,,2499,,
115,,5006,,
116,,6906,,
117,,6906,,
118,,5006,,
119,,5006,,
120,,5006,,
121,,6276,,
122,,3203,,
123,,5006,,
124,,335,,
125,,840,,
126,,840,,
127,,2499,,
128,,590,,
129,,6906,,
130,,3484,,
131,,2499,,
132,,6335,,
133,,840,,
134,,6906,,
135,,3203,,
136,,2499,,
137,,7449,,
138,,3203,,
139,,5006,,
140,,3203,,
141,,1252,,
142,,5006,,
143,,1124,,
144,,840,,
145,,840,,
146,,332,,
147,,840,,
148,,840,,
149,,840,,
150,,5006,,
151,,5319,,
152,,7655,,
153,,840,,
154,,7655,,
155,,5010,,
156,,800,,
157,,6906,,
158,,5010,,
159,,335,,
160,,840,,
161,,5010,,
162,,5006,,
163,,840,,
164,,1252,,
165,,5319,,
166,,2499,,
167,,840,,
168,,2683,,
169,,5319,,
170,,800,,
171,,6335,,
172,,335,,
173,,2499,,
174,,2499,,
175,,4253,,
176,,2683,,
177,,4717,,
178,,2499,,
179,,6335,,
180,,840,,
181,,5010,,
182,,2499,,
183,,5006,,
184,,4253,,
185,,5010,,
186,,840,,
187,,6906,,
188,,5319,,
189,,3184,,
190,,6654,,
191,,3203,,
192,,6906,,
193,,1329,,
194,,2499,,
195,,840,,
196,,5006,,
197,,2499,,
198,,5010,,
199,,2499,,
200,,2499,,
201,,840,,
202,,840,,
203,,2683,,
204,,5010,,
205,,840,,
206,,840,,
207,,5319,,
208,,4623,,
209,,5006,,
210,,3203,,
211,,6335,,
212,,4717,,
213,,2499,,
214,,840,,
215,,7655,,
216,,2499,,
217,,840,,
218,,3203,,
219,,5006,,
220,,5319,,
221,,3184,,
222,,840,,
223,,840,,
224,,840,,
225,,6906,,
226,,5006,,
227,,840,,
228,,2499,,
229,,840,,
230,,5006,,
231,,4717,,
232,,6906,,
233,,840,,
234,,2683,,
235,,1093,,
236,,3723,,
237,,3203,,
238,,5319,,
239,,3184,,
240,,3203,,
241,,2816,,
242,,335,,
243,,335,,
244,,63,,
245,,7449,,
246,,4717,,
247,,332,,
248,,5180,,
249,,2683,,
250,,840,,
251,,840,,
252,,840,,
253,,5010,,
254,,2499,,
255,,2499,,
256,,840,,
257,,840,,
258,,840,,
259,,2683,,
260,,332,,
261,,840,,
262,,63,,
263,,4717,,
264,,4717,,
265,,5319,,
266,,63,,
267,,6654,,
268,,800,,
269,,840,,
270,,2499,,
271,,800,,
272,,5010,,
273,,840,,
274,,3203,,
275,,2131,,
276,,5006,,
277,,5010,,
278,,3203,,
279,,5006,,
280,,840,,
281,,2683,,
282,,6906,,
283,,5010,,
284,,4717,,
285,,2499,,
286,,840,,
287,,840,,
288,,4717,,
289,,840,,
290,,5006,,
291,,5319,,
292,,840,,
293,,800,,
294,,840,,
295,,6654,,
296,,6276,,
297,,5006,,
298,,840,,
299,,5006,,
300,,840,,
301,,3203,,
302,,840,,
303,,5006,,
304,,2499,,
305,,3184,,
306,,5010,,
307,,6906,,
308,,2499,,
309,,840,,
310,,3184,,
311,,840,,
312,,5010,,
313,,5010,,
314,,840,,
315,,5006,,
316,,840,,
317,,6906,,
318,,6906,,
319,,1168,,
320,,2683,,
321,,6335,,
