u,i1,i2,nl
0,3184.0,,
1,2022.0,,
2,150.0,,
3,2809.0,,
4,2022.0,,
5,7620.0,,
6,5180.0,,
7,4253.0,,
8,4189.0,,
9,2683.0,,
10,7229.0,,
11,590.0,,
12,6324.0,,
13,6276.0,,
14,3217.0,,
15,5058.0,,
16,7887.0,,
17,5185.0,,
18,4623.0,,
19,5024.0,,
20,4574.0,,
21,7642.0,,
22,7790.0,,
23,2817.0,,
24,4053.0,,
25,1297.0,,
26,332.0,,
27,1329.0,,
28,7887.0,,
29,3440.0,,
30,5106.0,,
31,4964.0,,
32,728.0,,
33,8021.0,,
34,339.0,,
35,4623.0,,
36,840.0,,
37,7449.0,,
38,6906.0,,
39,7620.0,,
40,5006.0,,
41,2816.0,,
42,2022.0,,
43,7946.0,,
44,590.0,,
45,3502.0,,
46,4308.0,,
47,7470.0,,
48,2378.0,,
49,1252.0,,
50,5010.0,,
51,3484.0,,
52,2809.0,,
53,1329.0,,
54,4308.0,,
55,1910.0,,
56,7946.0,,
57,8021.0,,
58,3184.0,,
59,590.0,,
60,6324.0,,
61,1170.0,,
62,342.0,,
63,3217.0,,
64,1511.0,,
65,912.0,,
66,5915.0,,
67,2757.0,,
68,3440.0,,
69,2683.0,,
70,1043.0,,
71,4717.0,,
72,2212.0,,
73,7213.0,,
74,1257.0,,
75,4308.0,,
76,7790.0,,
77,3248.0,,
78,4189.0,,
79,1511.0,,
80,7946.0,,
81,7655.0,,
82,1505.0,,
83,7946.0,,
84,1252.0,,
85,1093.0,,
86,2683.0,,
87,7655.0,,
88,4836.0,,
89,5695.0,,
90,4096.0,,
91,4189.0,,
92,5168.0,,
93,4836.0,,
94,7557.0,,
95,2378.0,,
96,4717.0,,
97,7470.0,,
98,3668.0,,
99,6009.0,,
100,2022.0,,
101,7790.0,,
102,4384.0,,
103,5185.0,,
104,5010.0,,
105,2683.0,,
106,1252.0,,
107,1388.0,,
108,1388.0,,
109,4384.0,,
110,4987.0,,
111,4863.0,,
112,5298.0,,
113,1505.0,,
114,2512.0,,
115,4964.0,,
116,2512.0,,
117,335.0,,
118,7233.0,,
119,3668.0,,
120,869.0,,
121,4863.0,,
122,2757.0,,
123,6906.0,,
124,3217.0,,
125,,840.0,
126,,840.0,
127,,2499.0,
128,,590.0,
129,,6906.0,
130,,3484.0,
131,,2499.0,
132,,6335.0,
133,,840.0,
134,,6906.0,
135,,3203.0,
136,,2499.0,
137,,7449.0,
138,,3203.0,
139,,5006.0,
140,,3203.0,
141,,1252.0,
142,,5006.0,
143,,1124.0,
144,,840.0,
145,,840.0,
146,,332.0,
147,,840.0,
148,,840.0,
149,,840.0,
150,,5006.0,
151,,5319.0,
152,,7655.0,
153,,840.0,
154,,7655.0,
155,,5010.0,
156,,800.0,
157,,6906.0,
158,,5010.0,
159,,335.0,
160,,840.0,
161,,5010.0,
162,,5006.0,
163,,840.0,
164,,1252.0,
165,,5319.0,
166,,2499.0,
167,,840.0,
168,,2683.0,
169,,5319.0,
170,,800.0,
171,,6335.0,
172,,335.0,
173,,2499.0,
174,,2499.0,
175,,4253.0,
176,,2683.0,
177,,4717.0,
178,,2499.0,
179,,6335.0,
180,,840.0,
181,,5010.0,
182,,2499.0,
183,,5006.0,
184,,4253.0,
185,,5010.0,
186,,840.0,
187,,6906.0,
188,,5319.0,
189,,3184.0,
190,,6654.0,
191,,3203.0,
192,,6906.0,
193,,1329.0,
194,,2499.0,
195,,840.0,
196,,5006.0,
197,,2499.0,
198,,5010.0,
199,,2499.0,
200,,2499.0,
201,,840.0,
202,,840.0,
203,,2683.0,
204,,5010.0,
205,,840.0,
206,,840.0,
207,,5319.0,
208,,4623.0,
209,,5006.0,
210,,3203.0,
211,,6335.0,
212,,4717.0,
213,,2499.0,
214,,840.0,
215,,7655.0,
216,,2499.0,
217,,840.0,
218,,3203.0,
219,,5006.0,
220,,5319.0,
221,,3184.0,
222,,840.0,
223,,840.0,
224,,840.0,
225,,6906.0,
226,,5006.0,
227,,840.0,
228,,2499.0,
229,,840.0,
230,,5006.0,
231,,4717.0,
232,,6906.0,
233,,840.0,
234,,2683.0,
235,,1093.0,
236,,3723.0,
237,,3203.0,
238,,5319.0,
239,,3184.0,
240,,3203.0,
241,,2816.0,
242,,335.0,
243,,335.0,
244,,63.0,
