u,i1,i2,hl,nl
0,,2499.0,,
1,,5010.0,,
2,,840.0,,
3,,6654.0,,
4,,6906.0,,
5,,840.0,,
6,,2499.0,,
7,,840.0,,
8,,2499.0,,
9,,2499.0,,
10,,332.0,,
11,,2499.0,,
12,,840.0,,
13,,2499.0,,
14,,840.0,,
15,,2499.0,,
16,,7655.0,,
17,,7213.0,,
18,,2499.0,,
19,,4717.0,,
20,,63.0,,
21,,840.0,,
22,,840.0,,
23,,2499.0,,
24,,3203.0,,
25,,63.0,,
26,,2499.0,,
27,,5010.0,,
28,,2499.0,,
29,,2499.0,,
30,,2499.0,,
31,,2499.0,,
32,,3203.0,,
33,,840.0,,
34,,2499.0,,
35,,840.0,,
36,,2499.0,,
37,,1168.0,,
38,,2499.0,,
39,,800.0,,
40,,840.0,,
41,,3184.0,,
42,,6906.0,,
43,,800.0,,
44,,2499.0,,
45,,840.0,,
46,,332.0,,
47,,5006.0,,
48,,840.0,,
49,,2499.0,,
50,,7655.0,,
51,,5319.0,,
52,,3203.0,,
53,,4717.0,,
54,,5006.0,,
55,,335.0,,
56,,7470.0,,
57,,5006.0,,
58,,2499.0,,
59,,840.0,,
60,,840.0,,
61,,5006.0,,
62,,5006.0,,
63,,5006.0,,
64,,5010.0,,
65,,4717.0,,
66,,840.0,,
67,,63.0,,
68,,5010.0,,
69,,3184.0,,
70,,2499.0,,
71,,63.0,,
72,,4717.0,,
73,,3203.0,,
74,,2499.0,,
75,,7655.0,,
76,,840.0,,
77,,7449.0,,
78,,5319.0,,
79,,840.0,,
80,,5319.0,,
81,,5010.0,,
82,,4623.0,,
83,,840.0,,
84,,5010.0,,
85,,2683.0,,
86,,2499.0,,
87,,840.0,,
88,,840.0,,
89,,3203.0,,
90,,840.0,,
91,,4717.0,,
92,,840.0,,
93,,840.0,,
95,,2499.0,,
96,,5010.0,,
97,,6335.0,,
98,,7655.0,,
99,,5010.0,,
100,,332.0,,
101,,2499.0,,
102,,6270.0,,
103,,1511.0,,
104,,840.0,,
105,,6906.0,,
106,,6270.0,,
107,,6906.0,,
108,,3217.0,,
109,,5006.0,,
110,,335.0,,
111,,2499.0,,
112,,332.0,,
113,,840.0,,
114,,6270.0,,
115,,5010.0,,
116,,5010.0,,
117,,5010.0,,
118,,840.0,,
119,,5010.0,,
120,,6906.0,,
121,,3203.0,,
122,,5010.0,,
123,,5010.0,,
124,,3184.0,,
125,,6270.0,,
126,,6270.0,,
127,,840.0,,
128,,4253.0,,
129,,840.0,,
130,,1093.0,,
131,,6270.0,,
132,,7655.0,,
133,,6270.0,,
134,,2499.0,,
135,,5006.0,,
136,,840.0,,
137,,3203.0,,
138,,5006.0,,
139,,6906.0,,
140,,2499.0,,
141,,4623.0,,
142,,840.0,,
143,,3217.0,,
144,,6270.0,,
145,,6270.0,,
146,,4717.0,,
147,,6270.0,,
148,,6270.0,,
149,,6270.0,,
150,,5010.0,,
151,,4717.0,,
152,,6906.0,,
153,,6270.0,,
154,,5006.0,,
155,,6270.0,,
156,,3203.0,,
157,,2499.0,,
158,,6270.0,,
159,,5180.0,,
160,,6270.0,,
161,,2499.0,,
162,,840.0,,
163,,6270.0,,
164,,1910.0,,
165,,7655.0,,
166,,840.0,,
167,,6270.0,,
168,,7655.0,,
169,,7655.0,,
170,,2683.0,,
171,,5319.0,,
172,,63.0,,
173,,840.0,,
174,,840.0,,
175,,3184.0,,
176,,4717.0,,
177,,7655.0,,
178,,840.0,,
179,,3184.0,,
180,,6270.0,,
181,,840.0,,
182,,840.0,,
183,,5010.0,,
184,,335.0,,
185,,840.0,,
186,,6270.0,,
187,,2499.0,,
188,,7655.0,,
189,,5319.0,,
190,,1168.0,,
191,,5010.0,,
192,,5010.0,,
193,,2856.0,,
194,,840.0,,
195,,6270.0,,
196,,2499.0,,
197,,840.0,,
198,,6270.0,,
199,,840.0,,
200,,840.0,,
201,,6270.0,,
202,,6270.0,,
203,,840.0,,
204,,840.0,,
205,,6270.0,,
206,,6270.0,,
207,,5010.0,,
208,,6276.0,,
209,,5010.0,,
210,,5006.0,,
211,,5006.0,,
212,,7655.0,,
213,,840.0,,
214,,6270.0,,
215,,5010.0,,
216,,840.0,,
217,,6270.0,,
218,,5010.0,,
219,,5010.0,,
220,,3203.0,,
221,,2683.0,,
222,,6270.0,,
223,,6270.0,,
224,,6270.0,,
225,,5010.0,,
226,,2499.0,,
227,,6270.0,,
228,,6270.0,,
229,,6270.0,,
230,,6270.0,,
231,,3203.0,,
232,,5010.0,,
233,,6270.0,,
234,,5006.0,,
235,,1168.0,,
