user,exclude,item list
0,840.0,"[1911, 3098, 2274, 940, 3192, 976, 193, 4791, 708, 104]"
1,2499.0,"[437, 125, 2342, 2639, 361, 4396, 50, 112, 1087, 3637]"
2,6270.0,"[3258, 2274, 4096, 4954, 3510, 1647, 3509, 112, 4005, 3210]"
3,7449.0,"[297, 786, 648, 2549, 2220, 4894, 2820, 4955, 4918, 1053]"
4,5010.0,"[1074, 4194, 803, 4074, 3715, 125, 4788, 4951, 1984, 4446]"
5,6270.0,"[3459, 4894, 361, 4096, 276, 2468, 3389, 4091, 3193, 4954]"
6,840.0,"[740, 647, 2549, 3885, 3690, 1736, 4096, 348, 416, 145]"
7,6270.0,"[1485, 2949, 3729, 1321, 786, 1253, 127, 3479, 4228, 3510]"
8,840.0,"[740, 1984, 1605, 3810, 708, 3883, 2377, 4128, 2155, 4245]"
9,840.0,"[125, 2280, 2274, 3510, 3421, 2773, 505, 4922, 1485, 3342]"
10,5319.0,"[2274, 1522, 4738, 4106, 4960, 361, 2639, 484, 882, 112]"
11,840.0,"[2280, 4642, 2474, 2897, 3989, 740, 4344, 58, 4783, 1076]"
12,6270.0,"[361, 4106, 4039, 1253, 3510, 786, 4344, 3308, 2188, 1646]"
13,840.0,"[2, 2280, 2988, 4098, 145, 2274, 1706, 4546, 4642, 204]"
14,6270.0,"[740, 4945, 3102, 2274, 98, 303, 4005, 1683, 2474, 112]"
15,840.0,"[4336, 416, 361, 2499, 42, 3936, 861, 3497, 80, 4894]"
16,3203.0,"[4446, 532, 3083, 112, 361, 3410, 2987, 1287, 4344, 1835]"
17,1168.0,"[2280, 2342, 1074, 50, 2612, 2919, 973, 4683, 2274, 772]"
18,840.0,"[1984, 193, 238, 361, 1287, 3942, 391, 183, 4970, 4522]"
19,3203.0,"[284, 112, 1087, 3571, 4573, 4981, 4105, 2342, 1646, 4261]"
20,6335.0,"[4446, 4783, 647, 2820, 2949, 1455, 4926, 3083, 4642, 2355]"
21,6270.0,"[5, 2210, 979, 3459, 4829, 902, 4501, 4126, 2501, 75]"
22,6270.0,"[4171, 4091, 648, 4005, 1713, 1221, 276, 127, 2377, 3431]"
23,840.0,"[740, 908, 1556, 2274, 4270, 820, 2599, 2639, 2530, 361]"
24,5006.0,"[740, 4177, 647, 1646, 2848, 1288, 708, 125, 4275, 2105]"
25,332.0,"[2274, 2439, 1114, 4106, 1485, 4446, 4683, 193, 4005, 296]"
26,6270.0,"[3510, 112, 1921, 1103, 4720, 3138, 3421, 740, 4945, 1636]"
27,840.0,"[145, 361, 647, 3503, 3409, 989, 1522, 2207, 1921, 2215]"
28,840.0,"[4783, 740, 708, 4128, 1269, 3605, 3829, 4954, 2355, 4091]"
29,6270.0,"[772, 276, 2800, 973, 1200, 3498, 3645, 3715, 3506, 256]"
30,6270.0,"[648, 2912, 416, 3071, 3355, 4752, 2392, 989, 3869, 542]"
31,6270.0,"[3102, 960, 266, 2210, 4789, 2468, 112, 4501, 3282, 1739]"
32,6906.0,"[4446, 740, 4177, 983, 1089, 4945, 1601, 1755, 3732, 484]"
33,6270.0,"[361, 3818, 1253, 3735, 3383, 1722, 4131, 2274, 2773, 4735]"
34,6270.0,"[297, 725, 2834, 4477, 1190, 4131, 1739, 3232, 3483, 4535]"
35,6270.0,"[4005, 4177, 4941, 716, 361, 484, 633, 1646, 1752, 127]"
36,6270.0,"[4091, 1646, 11, 2274, 3510, 1362, 4337, 361, 4573, 145]"
37,332.0,"[4446, 4783, 740, 4091, 4177, 3300, 647, 1252, 357, 903]"
38,6270.0,"[740, 2820, 1740, 3102, 772, 1048, 98, 276, 4392, 1667]"
39,5006.0,"[112, 4960, 1612, 740, 2051, 882, 532, 4111, 3183, 20]"
40,6270.0,"[297, 2949, 1306, 2377, 3432, 3428, 4501, 1485, 2076, 189]"
41,7655.0,"[4091, 647, 357, 1646, 3037, 1089, 437, 1357, 3939, 193]"
42,840.0,"[908, 3510, 4533, 772, 4352, 2522, 2509, 1522, 2086, 131]"
43,2683.0,"[4446, 740, 4091, 4177, 3300, 812, 2, 4810, 1984, 2756]"
44,840.0,"[361, 193, 2377, 2095, 251, 2170, 2375, 688, 112, 62]"
45,6270.0,"[740, 2274, 3820, 989, 953, 1317, 1860, 2784, 3063, 2562]"
46,7655.0,"[3510, 145, 205, 1178, 554, 2468, 3630, 70, 1550, 4106]"
47,5010.0,"[1646, 2280, 2970, 1921, 4874, 3930, 2077, 2508, 740, 4270]"
48,6270.0,"[740, 648, 2063, 3888, 856, 1240, 112, 416, 4683, 2256]"
49,840.0,"[2280, 3624, 3869, 3767, 1221, 125, 4652, 1854, 2988, 989]"
50,3203.0,"[4642, 125, 3643, 1238, 361, 4302, 730, 3923, 2610, 532]"
51,7655.0,"[2756, 908, 1646, 4894, 1755, 3217, 1128, 1306, 181, 4104]"
52,5006.0,"[708, 42, 4642, 786, 3660, 2210, 2215, 1826, 9, 4843]"
53,7655.0,"[125, 4245, 361, 505, 2138, 4661, 3625, 245, 98, 284]"
54,5010.0,"[740, 4091, 2105, 2342, 2155, 4642, 1665, 2206, 3897, 3695]"
55,6335.0,"[4783, 3102, 255, 2988, 740, 4096, 1443, 989, 1409, 3516]"
56,335.0,"[1118, 4446, 3823, 4783, 740, 4177, 3300, 2, 1653, 1252]"
57,840.0,"[740, 4043, 2949, 2256, 193, 3261, 125, 953, 4091, 4642]"
58,840.0,"[983, 4738, 2988, 416, 4642, 3571, 140, 2139, 3078, 4099]"
59,6270.0,"[4091, 648, 4245, 4270, 3431, 3989, 2339, 4366, 4659, 3199]"
60,6270.0,"[740, 3459, 3483, 1171, 4053, 3413, 27, 4095, 4767, 2678]"
61,5010.0,"[4446, 1646, 2549, 4894, 1870, 4880, 2280, 3397, 4270, 266]"
62,5010.0,"[647, 1601, 193, 3102, 2160, 112, 804, 2903, 2951, 532]"
63,5010.0,"[4177, 647, 648, 193, 2949, 361, 4043, 4573, 145, 2063]"
64,2499.0,"[361, 4270, 1667, 172, 240, 2732, 3424, 3078, 4798, 1198]"
65,7655.0,"[2773, 2988, 217, 4983, 3047, 1753, 4478, 3459, 769, 4936]"
66,6270.0,"[2274, 989, 4290, 4573, 2949, 4961, 945, 3450, 740, 4683]"
67,5319.0,"[4783, 740, 4814, 1357, 125, 2949, 725, 828, 181, 2280]"
68,2499.0,"[3078, 3509, 945, 3510, 3785, 4206, 1602, 1646, 740, 72]"
69,800.0,"[708, 125, 238, 1306, 1740, 361, 2474, 4716, 1485, 1549]"
70,840.0,"[4783, 4177, 3732, 125, 2608, 2280, 4738, 4096, 4270, 4642]"
71,800.0,"[4446, 4783, 4177, 1252, 2756, 903, 297, 1089, 2848, 1357]"
72,5010.0,"[4446, 4783, 4091, 4177, 2, 647, 1984, 2756, 2218, 648]"
73,5006.0,"[1252, 125, 4708, 4357, 13, 3685, 532, 3198, 4533, 4683]"
74,6270.0,"[648, 2949, 3102, 4096, 3314, 2203, 1611, 4098, 1667, 3892]"
75,6906.0,"[4446, 4091, 648, 4093, 238, 2949, 532, 960, 4642, 2139]"
76,6270.0,"[2274, 989, 2354, 903, 484, 1602, 1619, 3037, 4457, 4270]"
77,335.0,"[740, 908, 1646, 648, 3732, 1728, 4955, 1343, 4164, 3102]"
78,3203.0,"[1252, 193, 2820, 708, 125, 2377, 2280, 2274, 3715, 2210]"
79,6270.0,[]
80,3203.0,"[4446, 740, 4091, 983, 4894, 4493, 2105, 2608, 3690, 2739]"
81,840.0,"[181, 1684, 2280, 3598, 4698, 3894, 2188, 4390, 2179, 4183]"
82,4253.0,"[4783, 740, 4177, 647, 1653, 2756, 903, 3551, 983, 1646]"
83,6270.0,"[2063, 1740, 989, 3258, 4335, 2949, 3173, 3459, 4445, 66]"
