user,include,item list
0,3203,"[1960, 3048, 484, 3335, 240, 4396, 3459, 3198, 2639, 4890]"
1,1910,"[2604, 3484, 437, 4005, 4275, 3675, 416, 3436, 4910, 4895]"
2,1329,"[2970, 2377, 2447, 3424, 2058, 2549, 4390, 193, 325, 4637]"
3,1119,"[4493, 1388, 1306, 411, 4143, 544, 3335, 2740, 902, 3459]"
4,3668,"[4302, 1970, 3759, 4665, 4692, 3431, 4912, 4245, 1860, 352]"
5,5168,"[193, 311, 1102, 2970, 4590, 2301, 1960, 3820, 160, 4766]"
6,1910,"[4005, 1613, 2949, 4814, 475, 822, 2511, 114, 137, 1181]"
7,4964,"[880, 647, 1873, 1970, 3455, 617, 3140, 1455, 2390, 586]"
8,1093,"[3955, 1235, 2538, 855, 4446, 2639, 1252, 3153, 391, 109]"
9,4863,"[505, 2639, 2489, 2318, 1993, 4693, 159, 2191, 3907, 1880]"
10,332,"[2530, 1984, 345, 18, 925, 98, 453, 475, 4394, 767]"
11,2856,"[1698, 4110, 4337, 4683, 2773, 1679, 1857, 1178, 3494, 3003]"
12,3217,"[1200, 388, 903, 2970, 2501, 796, 4986, 3685, 94, 2726]"
13,7946,"[1711, 2101, 2549, 2633, 130, 2348, 674, 1736, 4214, 3662]"
14,3723,"[323, 2342, 617, 3793, 3275, 512, 4098, 3278, 4491, 4396]"
15,7470,"[2619, 4665, 2474, 1613, 180, 1004, 1561, 3840, 1943, 4695]"
16,3668,"[2063, 4245, 1060, 2661, 228, 4790, 1491, 1856, 3759, 1860]"
17,3440,"[2782, 3165, 1574, 1545, 2799, 3113, 4169, 2356, 3238, 449]"
18,7470,"[1659, 3949, 2951, 2474, 4274, 3910, 4394, 3845, 3857, 1561]"
19,63,"[1988, 79, 248, 333, 998, 2874, 4084, 4841, 1684, 4203]"
20,7557,"[648, 1287, 2267, 2088, 2478, 45, 4126, 116, 2714, 2508]"
21,7449,"[3647, 40, 2088, 98, 1400, 214, 4879, 205, 705, 1554]"
22,4253,"[4950, 2055, 2968, 3318, 1611, 1522, 1619, 2800, 772, 1794]"
23,840,"[1088, 769, 4683, 719, 295, 4767, 3459, 4469, 2136, 3483]"
24,1833,"[4493, 4396, 1252, 1545, 2638, 2033, 2146, 2126, 3873, 3827]"
25,1511,"[647, 2848, 3336, 337, 4207, 2649, 2355, 617, 4557, 1455]"
26,8021,"[2639, 4954, 698, 4869, 1252, 2088, 2217, 3152, 254, 1564]"
27,1388,"[2178, 2532, 341, 2666, 4565, 750, 3063, 2518, 1765, 180]"
28,3502,"[1583, 3152, 3555, 106, 211, 465, 1695, 3428, 2953, 802]"
29,2832,"[234, 2161, 617, 14, 2657, 4927, 3143, 3210, 4396, 3905]"
30,2816,"[2811, 1178, 2199, 3636, 2313, 780, 1602, 3337, 4533, 2520]"
31,4253,"[1611, 2639, 1020, 2683, 2667, 2829, 489, 2968, 772, 2989]"
32,332,"[4493, 1567, 4028, 1813, 3423, 1230, 1287, 681, 4690, 2322]"
33,2832,"[14, 4704, 4396, 1667, 617, 3905, 3111, 3143, 736, 3233]"
34,6654,"[1918, 4895, 2458, 3483, 4683, 1126, 3173, 302, 66, 3928]"
35,1910,"[3024, 2015, 1599, 4545, 2536, 4656, 214, 3097, 4814, 2420]"
36,5006,"[1128, 3048, 2355, 3565, 1522, 4001, 127, 483, 1204, 1667]"
37,5298,"[3857, 1253, 1854, 2222, 4481, 3421, 2828, 3472, 4071, 3519]"
38,8021,"[1252, 2088, 4477, 2703, 4851, 4954, 3774, 3441, 1779, 2217]"
39,7470,"[4675, 507, 367, 236, 163, 2445, 8, 2474, 4115, 2835]"
40,590,"[3565, 2639, 1715, 617, 1571, 544, 209, 3335, 82, 193]"
41,5180,"[983, 324, 1288, 986, 4093, 1088, 4642, 268, 3459, 60]"
42,6654,"[4683, 197, 4049, 389, 2377, 3307, 66, 3372, 505, 1740]"
43,2816,"[4533, 1504, 1202, 3630, 3459, 1667, 450, 2341, 1178, 2313]"
44,3440,"[4723, 4335, 2300, 4895, 1448, 4433, 1822, 191, 439, 3238]"
45,1093,"[4446, 1169, 3510, 1818, 2538, 1089, 4128, 4451, 704, 1087]"
46,5180,"[3201, 2467, 1184, 4710, 2637, 477, 2, 4642, 1068, 1583]"
47,6906,"[1252, 1984, 193, 708, 1437, 1846, 4989, 2803, 1578, 4656]"
48,6654,"[2653, 2536, 2165, 3483, 2313, 4535, 3456, 1119, 807, 802]"
49,1257,"[3741, 2200, 880, 723, 4005, 217, 69, 3100, 1778, 700]"
50,3355,"[1943, 3314, 2207, 1116, 2445, 45, 2842, 186, 2342, 3923]"
51,4863,"[505, 2801, 1605, 3928, 421, 2100, 21, 1841, 4005, 4275]"
52,4836,"[2, 361, 10, 4292, 3459, 3565, 3342, 3823, 542, 4496]"
53,1511,"[4783, 554, 4981, 2435, 647, 4877, 3781, 4665, 2355, 3389]"
