user,include,item list
0,6276,"[361, 1306, 4869, 569, 357, 4309, 1074, 4865, 4128, 2462]"
1,5319,"[3048, 2494, 3146, 3179, 1600, 183, 113, 3243, 4402, 1778]"
2,5185,"[1612, 1762, 1494, 3335, 1089, 4382, 1980, 4851, 2787, 2392]"
3,4253,"[4045, 1306, 3593, 772, 1815, 4337, 1806, 489, 4444, 55]"
4,1511,"[2355, 4783, 2514, 1353, 1854, 4789, 1253, 3336, 312, 9]"
5,5915,"[713, 870, 3432, 2899, 1087, 4752, 133, 2988, 4910, 3347]"
6,4096,"[3337, 4760, 2287, 544, 2970, 343, 1464, 1715, 14, 1072]"
7,5180,"[1836, 1753, 4642, 4078, 2198, 2217, 3782, 588, 3841, 268]"
8,1833,"[2025, 1431, 1519, 1545, 3185, 4527, 4493, 2854, 81, 288]"
9,2832,"[4704, 736, 1667, 2657, 4767, 3216, 3210, 2506, 14, 335]"
10,2816,"[3459, 3890, 1085, 2139, 2536, 3329, 799, 2018, 4203, 565]"
11,7470,"[489, 750, 2874, 4274, 107, 8, 180, 2180, 299, 3479]"
12,6270,"[181, 3335, 882, 240, 1698, 3164, 217, 1178, 708, 4918]"
13,1511,"[4274, 710, 647, 1406, 3227, 4650, 2607, 4193, 3889, 1646]"
14,5825,"[2608, 4783, 3185, 3528, 4622, 4207, 4570, 571, 1359, 4893]"
15,3217,"[1630, 4142, 193, 1648, 3375, 687, 2523, 2651, 2799, 1294]"
16,3203,"[3071, 1049, 1715, 3102, 3459, 3594, 1129, 505, 198, 3059]"
17,2148,"[676, 983, 4337, 4661, 3381, 2394, 4658, 953, 1857, 3287]"
18,5168,"[2830, 1270, 544, 3820, 1728, 2970, 2872, 3109, 3665, 193]"
19,7233,"[4318, 4579, 844, 1224, 4233, 4292, 3338, 4912, 2421, 1957]"
20,7470,"[2530, 4394, 236, 516, 312, 1984, 3840, 1855, 107, 2874]"
21,7258,"[740, 276, 4016, 505, 4104, 3251, 4001, 2377, 1692, 2170]"
22,4717,"[2904, 4005, 357, 4064, 1855, 1445, 544, 4709, 3025, 3953]"
23,5168,"[2301, 2674, 3282, 2970, 193, 3305, 3826, 3665, 1728, 160]"
24,7470,"[4791, 1979, 3480, 3095, 3519, 924, 4674, 3783, 3949, 2833]"
25,2320,"[2639, 1200, 2970, 934, 1611, 1262, 1069, 173, 885, 1029]"
26,4253,"[3613, 2639, 1611, 1523, 2105, 4337, 2349, 1531, 768, 109]"
27,3484,"[4233, 3685, 2158, 907, 314, 70, 1037, 1069, 1119, 742]"
28,2499,"[2599, 205, 1178, 3192, 255, 1088, 1398, 1984, 391, 4601]"
29,2148,"[1431, 983, 4428, 4436, 4881, 4252, 3636, 1456, 4450, 600]"
30,3440,"[4283, 4751, 2996, 4922, 4433, 4954, 184, 2931, 1545, 4292]"
31,3203,"[1728, 1698, 1667, 3335, 3152, 1129, 4564, 732, 2545, 240]"
32,1388,"[4408, 2532, 30, 4573, 705, 4501, 4858, 4458, 4570, 2022]"
33,7655,"[2356, 1013, 688, 4593, 2905, 116, 415, 4826, 2384, 2686]"
34,6324,"[3102, 3799, 4090, 3438, 172, 2880, 4228, 942, 660, 4867]"
35,5168,"[193, 4773, 565, 2830, 2113, 2849, 4623, 3932, 2872, 465]"
36,5825,"[2090, 2326, 4893, 2607, 1470, 2232, 3151, 1359, 4193, 2608]"
37,4308,"[983, 2458, 1306, 2256, 1740, 2988, 544, 1020, 455, 4049]"
38,4717,"[3459, 3509, 189, 484, 3408, 643, 2636, 1926, 2450, 1722]"
39,4574,"[3143, 3935, 114, 320, 3098, 809, 1253, 2031, 201, 630]"
40,4253,"[3035, 4950, 109, 1178, 3873, 1495, 2639, 1020, 1321, 3537]"
41,2816,"[588, 4533, 3636, 3459, 565, 2536, 4342, 1072, 4959, 3337]"
42,298,"[416, 4462, 4005, 1802, 3652, 2782, 10, 4730, 4752, 3424]"
43,7470,"[3551, 4665, 4115, 2530, 4394, 2474, 4841, 2730, 2445, 4695]"
44,2856,"[2063, 4546, 3369, 900, 2773, 1128, 483, 1178, 634, 3728]"
45,6324,"[4922, 509, 3438, 3799, 4867, 577, 4044, 1190, 4577, 3102]"
46,4253,"[4126, 2218, 1252, 1294, 1611, 2383, 668, 3949, 1276, 160]"
47,1388,"[2530, 1684, 2260, 4573, 4406, 2738, 4858, 2544, 2022, 2955]"
48,4253,"[130, 1522, 3438, 2784, 2968, 1270, 2105, 1815, 4634, 461]"
49,1252,"[2890, 1252, 165, 1451, 1030, 2674, 1152, 4533, 3880, 439]"
50,2683,"[3935, 2096, 1646, 205, 4194, 945, 2265, 18, 1712, 80]"
51,8021,"[3573, 1029, 320, 4545, 3531, 1779, 4477, 252, 4096, 276]"
52,7258,"[3791, 2377, 1683, 2118, 3930, 4715, 1739, 589, 2657, 2694]"
53,590,"[1517, 2639, 1715, 3685, 848, 704, 3612, 4767, 2430, 2876]"
54,7946,"[3537, 2359, 3018, 4164, 983, 3366, 2549, 4290, 4317, 1886]"
55,1910,"[3813, 4206, 4737, 4656, 1595, 3421, 2163, 3095, 4545, 4722]"
56,1252,"[4533, 1725, 2462, 4489, 2179, 3371, 448, 4911, 1465, 4874]"
57,7258,"[505, 1007, 740, 4197, 2657, 3615, 2207, 106, 3869, 2646]"
58,5168,"[193, 3424, 1270, 3932, 565, 1653, 298, 3873, 1980, 1728]"
59,7233,"[4318, 1224, 4194, 458, 2996, 3623, 3930, 4715, 509, 4912]"
60,3484,"[2266, 3685, 1877, 940, 1492, 70, 4579, 1037, 2494, 1550]"
61,7233,"[3198, 3424, 3650, 4194, 1686, 4292, 3681, 4965, 15, 1341]"
62,4987,"[4298, 1725, 2848, 2188, 2632, 3859, 4757, 614, 3270, 3847]"
63,3497,"[2326, 2280, 2260, 4828, 1400, 1896, 1242, 3581, 3700, 1851]"
64,2148,"[1178, 2770, 4171, 27, 4885, 3386, 4275, 2033, 4762, 1844]"
65,7946,"[1736, 88, 3058, 1548, 2101, 983, 4142, 544, 1703, 3900]"
66,4964,"[3873, 2921, 3227, 1475, 3198, 3626, 3389, 4340, 554, 382]"
67,5825,"[3528, 1048, 3227, 4813, 1946, 571, 2955, 368, 4783, 2987]"
68,4096,"[4847, 4760, 633, 1097, 2287, 2514, 544, 952, 3990, 3337]"
69,5319,"[4893, 2105, 4187, 4918, 3782, 4836, 20, 1762, 4718, 712]"
70,8021,"[191, 1095, 4261, 2927, 1465, 2392, 3441, 1100, 276, 2062]"
71,4836,"[2, 1254, 2217, 3179, 3774, 361, 4965, 126, 1132, 1686]"
72,3440,"[1252, 4411, 4851, 1075, 2801, 331, 251, 1708, 439, 4169]"
73,6335,"[4683, 3045, 1178, 3798, 3759, 525, 2105, 187, 3630, 165]"
74,2816,"[3459, 1178, 565, 4524, 137, 4342, 1648, 2139, 256, 1588]"
75,2320,"[1667, 332, 2970, 1174, 1341, 1611, 4730, 4954, 2639, 3732]"
76,342,"[4140, 645, 2098, 2291, 3909, 1242, 2721, 3330, 4575, 3543]"
77,7233,"[1957, 2197, 3681, 4560, 4233, 1633, 4194, 2507, 3424, 2421]"
78,4623,"[4807, 4723, 4778, 3793, 4661, 2784, 2522, 1555, 3798, 2434]"
79,590,[]
80,7233,"[1341, 4202, 3338, 2789, 1581, 3650, 2996, 3866, 1493, 1069]"
81,5825,"[1946, 571, 2608, 629, 4783, 1642, 936, 1048, 4893, 489]"
82,3355,"[2342, 3109, 4516, 2326, 367, 2445, 1911, 4457, 45, 186]"
83,7449,"[205, 98, 831, 2407, 3244, 4193, 1973, 4913, 2860, 2706]"
84,4964,"[4916, 4243, 1475, 3571, 3441, 40, 2921, 3805, 3227, 1854]"
85,840,"[2440, 470, 3335, 4573, 3224, 415, 3083, 3071, 186, 2387]"
86,3217,"[2549, 2970, 3911, 3685, 3428, 3598, 1018, 333, 193, 2041]"
