,0,1,2,3,4,5,6,7,8,9,i1,i2,nl
0,908,532,708,1611,1778,588,2355,4783,1740,1091,,,"[204.8, 5.0, 9.0, 26.0, 24.0, 2.0, 10.0]"
1,740,2531,645,4757,1751,125,3995,4809,4111,4798,,,"[78.3, 0.0, 38.0, 6.0, 4.0, 0.0, 6.0]"
2,2274,3554,4352,3027,3037,1854,4501,3099,1103,708,,,"[132.3, 11.0, 39.0, 5.0, 4.0, 11.0, 5.0]"
3,1952,1628,4392,4776,203,896,4106,2280,1921,2533,,,"[29.4, 0.0, 23.0, 4.0, 0.0, 0.0, 2.0]"
4,1873,882,4858,3609,2143,2342,4665,3977,701,4876,,,"[90.4, 6.0, 27.0, 4.0, 1.0, 11.0, 4.0]"
5,2280,2289,772,4985,2274,3233,2206,4392,4106,2311,,,"[206.4, 0.0, 201.0, 0.0, 1.0, 0.0, 18.0]"
6,4312,1013,1711,1632,1960,123,301,648,2513,1749,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
7,3510,2355,803,789,897,4265,532,2975,80,3102,,,"[107.2, 2.0, 5.0, 10.0, 5.0, 3.0, 6.0]"
8,1080,532,1984,708,4960,4489,193,4836,331,284,,,"[126.9, 2.0, 8.0, 24.0, 8.0, 1.0, 7.0]"
9,3198,3155,276,1927,1715,474,708,3369,1412,4640,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
10,112,98,2086,85,1646,2532,1752,3366,554,617,,,"[62.5, 3.0, 22.0, 16.0, 2.0, 7.0, 3.0]"
11,648,319,505,295,586,2355,2874,2996,3611,4337,,,"[606.5, 65.0, 12.0, 34.0, 65.0, 83.0, 7.0]"
12,2897,2478,3655,116,1125,688,917,2088,4257,4754,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
13,1611,1522,708,276,986,1196,4091,3300,3237,647,,,"[428.4, 32.0, 28.0, 55.0, 93.0, 30.0, 3.0]"
14,4497,1129,157,4908,145,1684,4783,4799,2206,2632,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
15,2803,2470,4457,2987,2207,3511,4757,945,1041,4167,,,"[95.3, 1.0, 50.0, 16.0, 5.0, 0.0, 7.0]"
16,3782,361,4918,4082,51,3282,3243,1088,145,4637,,,"[84.7, 11.0, 1.0, 6.0, 7.0, 21.0, 0.0]"
17,827,2375,1812,2468,125,2613,4827,4589,4695,4106,,,"[28.3, 0.0, 26.0, 0.0, 0.0, 0.0, 2.0]"
18,98,1711,1960,630,1048,2139,2293,2667,3905,2949,,,"[182.4, 2.0, 50.0, 7.0, 11.0, 1.0, 13.0]"
19,2274,945,1321,4446,2300,2549,4167,186,4274,3216,,,"[61.8, 0.0, 42.0, 7.0, 0.0, 0.0, 5.0]"
20,1779,234,4491,2949,3094,72,85,1936,2445,3439,,,"[36.5, 0.0, 16.0, 0.0, 3.0, 0.0, 2.0]"
21,588,3121,4665,3198,3164,4814,3810,2645,2525,3612,,,"[549.0, 40.0, 41.0, 20.0, 38.0, 34.0, 20.0]"
22,1698,2425,1578,2639,4194,1337,357,505,3685,1014,,,"[159.0, 2.0, 8.0, 13.0, 18.0, 1.0, 9.0]"
23,1324,465,3128,2970,4069,2294,73,4835,3341,467,,,"[42.7, 0.0, 9.0, 97.0, 4.0, 0.0, 3.0]"
24,2614,663,112,831,40,2025,3314,1684,1790,4782,,,"[262.9, 23.0, 95.0, 6.0, 6.0, 40.0, 9.0]"
25,3102,4814,1854,4651,27,708,2425,4214,4961,815,,,"[32.2, 5.0, 0.0, 0.0, 0.0, 2.0, 0.0]"
26,648,708,617,361,1922,3198,4896,1332,817,2747,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
27,9,4129,1684,3652,4826,1667,853,3282,3770,3810,,,"[23.6, 2.0, 4.0, 3.0, 0.0, 1.0, 0.0]"
28,3319,3459,152,2872,361,1233,916,145,4338,4091,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
29,458,4005,4793,3097,3058,1719,453,708,1555,3282,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
30,4945,708,617,3386,647,4961,2975,4640,4098,1740,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
