user,hist,target,item list
0,4106,"[366.3, 40.0, 66.33, 15.0, 27.72, 46.0, 5.9399999999999995]","[361, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
1,647,"[3612.3, 482.0, 336.0, 53.46, 158.0, 150.0, 55.44]","[1005, 1118, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
2,389,"[1103.256, 82.17, 25.74, 51.0, 93.0, 123.75, 37.0]","[1198, 1118, 0, 4446, 3823, 4783, 740, 1906, 4091, 4177]"
3,4814,"[578.655, 60.39, 46.0, 28.71, 31.68, 58.0, 13.86]","[1118, 0, 4446, 1, 773, 4468, 976, 3050, 4026, 1829]"
4,125,"[2252.052, 153.45, 1124.64, 38.61, 76.0, 94.0, 110.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
5,284,"[654.4000000000001, 58.41, 33.0, 34.65, 64.0, 60.0, 14.0]","[276, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
6,2949,"[656.2, 49.5, 133.0, 19.8, 16.0, 92.0, 26.73]","[1374, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
7,4573,"[2306.8, 173.0, 1286.01, 22.77, 22.0, 342.54, 113.85]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
8,297,"[1008.0179999999999, 76.0, 32.67, 48.51, 87.12, 88.0, 33.0]","[145, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177]"
9,1984,"[1011.0, 62.37, 89.0, 96.0, 73.26, 83.0, 38.61]","[276, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
10,4270,"[320.4, 42.57, 14.0, 36.0, 21.78, 92.07, 1.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
11,1404,"[544.2030000000001, 21.78, 23.759999999999998, 47.0, 73.0, 18.81, 20.79]","[2101, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
12,4918,"[4390.848, 41.58, 2454.21, 18.0, 83.0, 68.0, 213.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
13,4106,"[98.406, 0.0, 92.0, 0.0, 0.0, 0.0, 7.92]","[4106, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
14,647,"[6789.0, 944.46, 633.6, 47.519999999999996, 276.0, 293.04, 88.0]","[647, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
15,2848,"[1087.7, 110.0, 24.75, 86.0, 141.57, 178.0, 14.0]","[2657, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
16,276,"[564.795, 33.66, 26.0, 31.68, 96.03, 29.7, 13.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
17,4683,"[712.2, 60.0, 14.85, 42.57, 83.0, 93.06, 14.85]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
18,1984,"[692.604, 45.54, 75.0, 68.31, 38.61, 64.0, 26.73]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
19,2949,"[858.3, 61.38, 112.86, 28.0, 101.97, 80.19, 22.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
20,4091,"[574.497, 35.0, 36.63, 69.3, 105.92999999999999, 40.0, 11.0]","[505, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
