,0,1,2,3,4,5,6,7,8,9,i1,i2,hl,nl
0,924,3888,4693,3226,3307,3109,114,3472,1854,205,5298,,,
1,2756,2281,3015,2730,1478,708,4203,3519,2937,2977,63,,,
2,2342,2667,4783,80,2203,4729,4022,1776,2957,2220,7956,,,
3,2155,122,3526,713,570,2188,1720,3293,853,593,2777,,,
4,2608,3971,2955,4622,3151,4783,936,2232,571,248,5825,,,
5,1421,3459,203,2756,3685,2638,3330,907,4493,3143,4717,,,
6,4814,1202,4532,2996,3386,2523,4459,1732,2796,1532,6009,,,
7,532,1812,4262,2319,1109,36,1241,554,4409,1994,2509,,,
8,4683,2514,2165,389,1846,1096,616,258,3173,2377,6654,,,
9,2523,4532,4814,744,3963,136,3183,2770,4461,70,6009,,,
10,3183,3041,4826,38,266,581,3335,4720,2339,2681,5185,,,
11,829,4874,3955,4599,4698,301,308,617,2830,266,4987,,,
12,571,663,4783,248,1549,1048,2350,4193,2326,1121,5825,,,
13,3423,4261,336,831,2267,44,2088,475,2474,3168,7642,,,
14,647,1854,3198,3805,40,3571,2175,3650,3439,2080,4964,,,
15,3652,4005,3509,744,4836,258,416,2356,4412,4961,298,,,
16,923,738,543,4752,677,3344,3628,1545,2848,1599,2809,,,
17,4927,4412,4836,3058,4179,4814,4349,4778,3411,983,4308,,,
18,2811,1178,558,483,1430,2937,3369,4683,3685,4047,2856,,,
19,82,3483,2191,4128,2105,4895,505,1119,4016,258,6654,,,
20,4954,258,4126,283,1749,4963,4953,3537,3375,49,2817,,,
21,3329,2392,99,1252,4283,2300,1089,3142,4292,2941,3440,,,
22,2342,3314,4084,4463,3417,3037,3230,837,186,3436,3355,,,
23,3873,3424,193,2301,3305,1055,4226,160,2970,4989,5168,,,
24,10,2142,4927,2522,2608,1788,1600,4888,416,3940,298,,,
25,1611,4720,4014,3335,12,3636,1818,4950,668,2021,5185,,,
26,3424,3210,2356,3652,515,4284,416,744,2430,1454,298,,,
27,4493,1235,373,1715,3628,4239,2348,2912,3428,4766,1119,,,
28,4783,554,1357,532,1287,3907,2319,2944,1116,2860,2509,,,
29,2830,1663,1244,475,1337,1697,8,1646,255,3923,2683,,,
30,3227,382,4858,1684,2518,705,98,3423,180,1398,335,,,
31,1646,2401,674,1681,2478,680,345,9,3483,945,800,,,
32,3165,1740,284,2657,361,145,1038,4342,1137,2796,7213,,,
33,2848,4042,1049,2082,2783,1720,3036,853,1692,700,2777,,,
34,4051,920,2795,1519,415,2545,3731,3555,1667,4506,7655,,,
35,2203,260,4428,1158,3760,4003,2649,1020,2125,3423,5058,,,
36,3510,2616,4325,817,1053,4226,2139,1128,4462,4851,1124,,,
37,2530,4570,4573,4599,30,2178,1684,750,186,4458,1388,,,
38,4798,2858,2739,4194,880,998,908,1646,1178,4128,2683,,,
39,2639,610,3379,4477,1737,4320,73,800,870,2940,8021,,,
40,4798,2280,3576,989,4960,2756,1713,3650,465,4064,3497,,,
41,3263,4098,3456,1409,1735,1933,3942,2523,1715,2851,1505,,,
42,1371,1303,4756,2319,4459,2530,1460,2549,98,3341,800,,,
43,3813,2530,1684,186,2544,663,2731,408,2666,2614,1388,,,
44,4428,4310,4658,3636,1279,27,502,981,4436,3963,2148,,,
