,0,1,2,3,4,5,6,7,8,9,i1,i2,nl
0,4642,1670,251,71,4091,4352,3282,4337,4954,148,3184,,
1,1087,1752,4560,3942,141,1026,4187,298,3594,2204,2022,,
2,2280,2533,2503,1646,4219,3594,201,3564,4478,3674,150,,
3,2848,923,3677,3895,1835,738,4615,1599,4707,2940,2809,,
4,593,591,219,4560,4128,20,1087,2990,3942,2459,2022,,
5,924,387,3438,4635,569,4018,2294,4581,1662,839,7620,,
6,4642,3944,217,2747,2341,4788,1493,577,105,594,5180,,
7,1276,658,2105,3593,4094,3035,3873,1522,4126,1164,4253,,
8,691,4445,4551,2941,2507,2377,324,1786,895,251,4189,,
9,3439,2104,1879,4493,2476,4951,945,453,3185,2175,2683,,
10,1087,2784,1635,2523,2494,1139,1871,3455,1152,364,7229,,
11,2657,3944,4760,617,193,3100,1630,2034,2740,1715,590,,
12,1429,3584,4912,3648,4953,2158,4922,2072,4507,4577,6324,,
13,870,361,1764,4005,3041,2548,4096,4590,4899,265,6276,,
14,2970,2224,1950,135,4493,3014,556,1630,3351,2726,3217,,
15,1862,827,2306,2125,4843,3713,3406,1014,3423,1020,5058,,
16,708,1287,1549,4086,571,2972,205,1782,9,2478,7887,,
17,3183,3335,3636,1806,4382,668,3262,1611,521,21,5185,,
18,2608,1102,4337,1178,1306,4778,2919,3798,439,4195,4623,,
19,1429,2256,193,333,3986,325,566,3768,2238,2543,5024,,
20,335,1181,2250,4340,4843,1550,630,909,99,1253,4574,,
21,2015,3835,2088,1116,3783,3441,4960,329,3151,2894,7642,,
22,562,1066,4574,740,630,2607,3571,2749,879,3089,7790,,
23,3375,2181,4963,3820,1564,49,4126,3537,314,3644,2817,,
24,2549,1430,1707,3545,3820,1252,1677,3559,654,4867,4053,,
25,43,4302,704,4803,4243,513,4720,1818,4825,3908,1297,,
26,45,4841,2756,4828,1846,4071,3483,13,326,2206,332,,
27,193,4635,3424,4637,2897,3037,505,2459,3428,820,1329,,
28,2874,554,708,4789,571,391,2503,2821,2944,1287,7887,,
29,2300,4954,1822,1075,1252,2102,99,2146,2043,1106,3440,,
30,2095,1270,4941,2651,398,1089,4635,1871,2296,4352,5106,,
31,647,3650,782,880,2958,4203,1455,4243,3626,2083,4964,,
32,3685,1686,2508,2560,3052,4194,1212,3796,1056,617,728,,
33,2392,4096,3565,320,1904,191,2217,183,4261,1465,8021,,
34,4491,3798,1753,679,72,2732,176,403,4387,3003,339,,
35,4735,3510,2370,2540,289,4955,4927,3794,2990,160,4623,,
36,3397,2342,4683,4888,4910,3423,1126,802,3210,4569,840,,
37,976,767,555,1024,4207,3314,98,4913,415,630,7449,,
38,2820,2274,1684,453,116,288,3483,3995,2481,1776,6906,,
39,3007,3690,2803,1786,569,387,2633,1338,3438,924,7620,,
40,4270,361,80,453,240,1522,2755,1074,2780,2125,5006,,
41,1602,4533,266,2599,4338,3630,1667,272,1738,4847,2816,,
42,2830,4477,219,4128,3628,3410,3615,1752,3594,723,2022,,
43,983,2549,1053,3165,1711,4164,3438,3018,3652,3533,7946,,
44,373,2639,2034,4888,217,193,4302,900,1370,2454,590,,
45,3628,3391,1224,2851,2740,885,3152,3289,1722,4143,3502,,
46,2377,4349,1740,4459,983,4836,198,4814,3073,1294,4308,,
47,1782,3480,367,1944,2757,2835,4695,2874,1155,3910,7470,,
48,49,4131,193,1054,3100,3217,934,3768,2970,4462,2378,,
49,738,4533,4581,1715,556,2890,245,131,4104,1418,1252,,
50,2377,2086,2439,4398,505,2755,4945,2412,1464,3338,5010,,
51,3685,1492,2678,946,3934,15,1574,3837,4963,4233,3484,,
52,3344,923,1370,677,3950,2848,3094,4842,1164,1599,2809,,
53,2549,1983,193,4477,2377,3612,505,4398,2384,3930,1329,,
54,4814,198,1306,2553,2458,4412,4349,3144,4179,106,4308,,
55,4005,3888,4016,2949,3066,4683,2989,1599,1993,114,1910,,
56,2549,3165,1711,1736,674,3900,3018,3328,3142,1611,7946,,
57,3802,4047,276,1564,3565,183,2088,4096,3573,3774,8021,,
58,4955,4642,1522,3282,928,3337,4091,1602,4532,2334,3184,,
59,3565,366,3685,544,458,848,940,1964,2657,141,590,,
60,4922,373,4912,1755,3192,1190,357,1139,3648,3795,6324,,
61,2824,1791,4479,3907,291,2907,117,2021,1005,1841,1170,,
62,2470,2833,4140,4240,976,710,192,288,630,4960,342,,
63,4216,601,245,1709,3826,895,2523,903,4290,1825,3217,,
64,1960,617,647,4826,4939,1406,1089,856,2222,2355,1511,,
65,3336,1826,2532,3977,454,4985,4366,4817,1572,4190,912,,
