,0,1,2,3,4,5,6,7,8,9,i1,i2,hl,nl
0,4091,416,4778,4501,3628,3198,3282,2547,1611,266,,2499,,
1,4827,648,2083,1343,3885,3710,532,98,1983,630,,5010,,
2,896,2266,4680,361,2610,1199,1918,4106,112,4493,,840,,
3,4446,1,866,297,648,4336,4932,6,193,1755,,6654,,
4,3497,3841,2511,882,4922,4344,679,953,4465,1003,,6906,,
5,1864,361,4642,4270,193,239,1133,1004,151,3817,,840,,
6,4091,4918,1602,4683,2210,361,1458,444,882,3826,,2499,,
7,2280,4642,3802,2204,1446,708,1244,1270,3424,54,,840,,
8,4446,647,437,4932,193,3732,3048,2274,4245,698,,2499,,
9,647,1646,193,3102,4270,3198,772,416,1611,2741,,2499,,
10,647,3102,3210,109,2639,338,361,1235,4036,3045,,332,,
11,3282,3829,4270,4049,4683,225,786,2610,2880,3431,,2499,,
12,2608,4836,1074,145,4693,1178,116,4847,855,2026,,840,,
13,4683,2210,3564,181,99,1270,285,2549,4245,989,,2499,,
14,4814,4836,2988,20,4106,4459,3942,4960,4551,3512,,840,,
15,3543,3282,3835,2342,3805,4096,4215,4829,4814,4798,,2499,,
16,361,4778,4960,3996,4842,4290,2858,1129,4106,782,,7655,,
17,2549,2949,1472,2207,2784,2101,4525,1921,4918,4899,,7213,,
18,2848,1755,4954,3510,1604,361,2015,4986,1715,1485,,2499,,
19,112,2296,2342,209,3375,284,3268,1379,2964,4396,,4717,,
20,1252,648,4782,14,3510,361,1725,145,3640,3459,,63,,
21,484,2280,3510,1443,4642,4005,112,2179,3976,4332,,840,,
22,2224,4836,2739,2912,4642,4194,2773,337,3198,4284,,840,,
23,4446,4783,3073,4675,2342,4738,4245,3510,4270,4683,,2499,,
24,4783,4091,647,2280,4722,2274,4245,3510,532,3905,,3203,,
25,2274,4270,53,532,1129,3459,361,283,2610,1091,,63,,
26,4446,647,2820,2280,2342,4245,361,3078,3324,112,,2499,,
27,4960,2347,4573,90,1556,3022,2970,1774,2355,2204,,5010,,
28,2342,416,945,1169,2274,2949,2848,4711,4005,4904,,2499,,
29,2274,3018,2194,1074,4396,42,2181,1715,2831,116,,2499,,
30,193,2949,3335,4635,4106,4745,453,3555,4215,105,,2499,,
31,193,2105,2155,4118,361,2139,527,1667,2702,4778,,2499,,
32,647,357,1646,4814,4782,2549,2848,2083,193,3174,,3203,,
33,4929,3565,1751,4091,1184,4533,2620,708,2179,4043,,840,,
34,4091,1755,2949,2274,3335,4642,361,945,2780,4501,,2499,,
35,4783,647,1324,3510,3743,36,4091,1522,794,1913,,840,,
36,4783,4945,4245,3510,4683,361,1142,1479,882,3942,,2499,,
37,4446,4783,740,4091,4177,3300,812,647,1653,4810,,1168,,
38,647,786,2549,193,2274,4096,4270,4005,945,1667,,2499,,
39,3282,4798,2468,1903,532,3113,4661,4434,1751,3802,,800,,
40,4783,4245,109,4642,361,4194,4778,134,1984,679,,840,,
41,4783,740,647,357,2756,903,1646,4814,648,2220,,3184,,
42,2342,4270,2170,112,3796,1121,1708,829,4306,923,,6906,,
43,1118,4177,647,908,983,4814,3037,866,297,1089,,800,,
44,2155,1523,2657,2988,676,4683,2547,3109,4270,2970,,2499,,
45,2639,4599,2511,1583,558,2944,2436,4783,301,2820,,840,,
46,647,708,3102,2639,145,1667,203,2390,4091,3105,,332,,
47,4446,1984,2756,708,125,1711,4245,4445,3740,4683,,5006,,
48,4270,4642,4433,2355,1740,2970,2835,4844,3905,4954,,840,,
49,1485,320,4635,621,4352,2296,4118,1548,803,361,,2499,,
50,1230,345,4106,989,3431,3061,4989,3397,4642,2799,,7655,,
51,4665,1446,4760,2280,2342,3102,3510,4270,2530,276,,5319,,
52,2207,214,2666,708,2342,3099,193,4573,4091,3300,,3203,,
53,2949,4642,53,4352,361,112,1075,1224,1601,4533,,4717,,
54,4945,708,3510,284,2506,62,1673,4458,4601,3901,,5006,,
55,4932,1740,1485,2511,3472,4626,827,708,2639,4044,,335,,
56,4446,4783,740,4091,3300,1252,908,983,1646,767,,7470,,
57,3459,940,2138,1806,827,4511,308,2726,3962,708,,5006,,
58,437,4836,2377,1736,1611,3047,495,4960,827,1698,,2499,,
59,4177,708,4954,1740,3888,2274,3715,361,239,882,,840,,
60,882,4091,2522,2820,145,1241,1764,4567,1196,3237,,840,,
61,647,1984,2949,3814,2377,2274,3510,2988,98,3078,,5006,,
62,357,908,2549,2256,3510,769,1684,4469,663,3271,,5006,,
63,740,1646,3175,4880,2377,2528,37,416,98,793,,5006,,
64,1461,4091,2225,4960,4709,2988,125,945,2998,4683,,5010,,
65,4106,4446,945,1698,1630,181,2874,3237,960,3472,,4717,,
66,3510,4106,4737,4245,923,3743,2949,60,4783,4511,,840,,
67,357,786,193,4918,125,3814,2280,2274,4270,54,,63,,
68,1184,3796,923,1485,663,116,3381,2274,4446,4793,,5010,,
69,647,193,37,361,4106,3472,945,4850,4551,3342,,3184,,
70,740,647,1646,2549,1601,2949,3102,3510,3198,820,,2499,,
71,4446,4091,647,1653,4814,1197,4945,2549,2848,4932,,63,,
72,4783,647,1653,4814,786,1357,4932,193,708,125,,4717,,
73,1646,2848,1601,3732,1734,708,238,2280,1740,1736,,3203,,
74,4091,647,1357,2274,3900,3018,1142,1588,3431,2474,,2499,,
75,4446,357,1646,2549,193,4918,125,14,4245,37,,7655,,
76,2138,3102,276,4635,772,193,645,3271,3078,4642,,840,,
77,2280,3102,3048,532,3083,1681,2957,923,3564,145,,7449,,
78,2210,3905,4642,2522,2828,140,3078,3652,3660,882,,5319,,
80,4177,1984,767,866,648,4493,3175,1728,2949,839,,5319,,
81,116,2616,3312,3098,361,4683,98,1074,3138,2478,,5010,,
82,4446,740,4177,647,1252,357,2756,908,1646,4814,,4623,,
83,391,432,4091,72,4096,2300,1199,2434,3834,361,,840,,
84,4479,554,2119,708,4642,203,2499,1918,4091,3661,,5010,,
85,3102,3565,4533,2549,3510,4710,3661,127,181,4446,,2683,,
86,1217,361,2820,72,2927,882,10,3968,109,2436,,2499,,
87,882,4501,2207,827,4106,3835,465,320,2251,3201,,840,,
88,740,4091,903,193,125,2949,2105,2280,1736,4270,,840,,
89,1601,708,181,4128,3224,3030,2468,4069,1113,2511,,3203,,
90,708,1602,4836,1740,4245,2516,4642,276,4698,4151,,840,,
91,882,647,4642,125,916,532,3409,3102,4106,1632,,4717,,
92,2210,4642,145,112,1287,2015,4847,1457,2311,2031,,840,,
93,708,2280,2667,882,2392,2251,4270,1860,1254,4642,,840,,
94,1118,4446,4783,4177,4827,647,357,2756,903,983,,2757,,
95,4446,4783,740,3300,647,1984,903,908,4814,866,,5010,,
96,647,1601,1357,2458,986,4918,2608,14,1406,2280,,5006,,
97,4446,4091,4177,812,647,1252,3813,1646,4814,866,,63,,
98,2639,3335,1684,4337,14,3689,4270,2179,2988,3942,,2683,,
99,4177,4814,4782,2848,1711,14,2342,4245,54,2210,,6906,,
100,4446,4783,740,4091,1653,1252,1984,983,1646,866,,7449,,
101,4783,361,2858,2111,4106,1178,4177,1611,711,1911,,5010,,
102,4783,786,828,2280,4642,788,453,882,2354,3048,,2499,,
103,4783,740,4091,1653,1984,3551,4026,3037,1601,4932,,1252,,
104,1646,4131,4691,1116,191,3259,3652,416,3282,432,,4717,,
105,2949,361,4106,3510,882,1522,4501,4642,772,1369,,4717,,
106,68,1121,2345,2283,1550,1711,1951,383,79,1751,,5010,,
107,4091,647,4026,193,3885,2342,3258,1740,4738,4096,,332,,
108,4446,4783,740,1906,4091,4177,647,1653,1252,357,,4623,,
109,4446,4091,4177,647,357,2756,908,3551,3813,4814,,6335,,
110,740,3300,866,324,1755,555,484,708,1388,2608,,7557,,
111,4446,4783,647,2549,4894,4493,1605,3201,484,4918,,5010,,
112,324,1572,1804,2294,4509,3885,1458,1133,9,3022,,6276,,
113,740,3551,1646,2848,3143,3102,1362,4683,772,4754,,2499,,
114,647,2522,2773,2377,2468,125,4929,505,1485,4074,,2499,,
115,4783,4177,2549,1357,3175,4275,2608,14,2646,3510,,5006,,
116,1406,1736,4118,4683,361,4534,4194,4126,3565,1752,,6906,,
117,3083,4274,2848,4642,2904,3335,2155,3743,1523,2841,,6906,,
118,960,4642,3856,3768,4829,989,2368,209,4384,3229,,5006,,
119,2223,1755,3510,4752,3555,3083,2377,4436,3719,2885,,5006,,
120,740,708,3397,1740,3715,1048,4797,1202,1684,4069,,5006,,
121,2105,4954,2988,4270,3314,4394,2697,2468,916,3007,,6276,,
122,786,4945,4918,3510,361,66,3078,3225,4458,1522,,3203,,
123,4918,1809,4061,4310,1075,4018,786,4894,1175,444,,5006,,
124,4091,193,1711,2342,4270,4453,1048,3335,4642,361,,335,,
125,4932,1074,145,3364,37,3198,4642,2970,448,125,,840,,
126,2903,484,4960,4645,3233,1196,416,2210,54,4827,,840,,
127,4932,4918,2949,4880,839,725,4836,2342,2488,3198,,2499,,
128,3823,4783,740,4091,647,1252,357,1984,1646,773,,590,,
129,82,4477,4567,4396,4332,4738,3372,2210,145,1100,,6906,,
130,3823,740,4091,4177,4827,647,1653,1252,357,1984,,3484,,
131,1224,4128,2274,361,647,85,3092,4949,3409,1970,,2499,,
