,0,1,2,3,4,5,6,7,8,9,i1,i2,nl
0,3510,1254,3602,1970,4983,575,2949,2843,1522,2549,,2499,
1,983,9,2988,361,1918,4798,2468,2179,4652,3498,,5010,
2,112,3982,2549,4778,4642,3900,1037,4245,3600,109,,840,
3,1118,4814,866,2218,786,2816,2848,193,3732,986,,6654,
4,1219,1178,698,3732,80,4954,882,4496,284,1762,,6906,
5,4005,565,2200,125,2999,4652,1456,2848,708,4635,,840,
6,297,193,3102,3018,361,2773,1270,105,882,4836,,2499,
7,1888,2949,4839,37,1038,3094,3047,2105,3102,145,,840,
8,4783,983,193,2377,2274,2912,2988,4642,1531,2355,,2499,
9,193,2342,2274,4445,3432,361,80,1538,3640,343,,2499,
10,3102,2274,416,544,932,4573,2356,112,1960,583,,332,
11,193,2609,945,361,2377,2905,688,62,610,3584,,2499,
12,4091,647,2848,3510,3198,112,4791,1522,1550,2657,,840,
13,4783,4814,238,2274,4642,645,882,4171,1648,3154,,2499,
14,484,1253,2274,361,4252,4596,505,2741,2755,1129,,840,
15,647,1252,125,2949,2522,112,157,2511,1522,1822,,2499,
16,1602,3510,3238,1752,3643,655,276,2549,3102,251,,7655,
17,416,2194,4478,1646,2359,960,4986,4245,1601,768,,7213,
18,2848,3048,4698,2355,361,3424,2396,1795,713,584,,2499,
19,4890,4836,2501,2491,2086,2848,495,3818,416,3510,,4717,
20,125,3102,2274,4245,1304,98,276,945,2970,1667,,63,
21,708,3510,1630,4016,1578,2280,1087,1007,112,4771,,840,
22,192,2559,361,2139,894,4349,1945,4022,4111,2499,,840,
23,4783,983,4814,193,3810,2949,1276,2274,3510,3198,,2499,
24,4783,1984,4493,1306,2105,673,2274,4683,109,1020,,3203,
25,2359,416,647,4764,4888,2355,617,33,1522,1753,,63,
26,647,2549,2949,3510,3198,416,3335,112,2970,2610,,2499,
27,181,488,302,2220,4501,2313,2210,3651,3173,98,,5010,
28,3078,1667,453,4986,4501,1522,4668,1753,116,1957,,2499,
29,4091,983,193,125,2949,4836,2280,2274,3198,3335,,2499,
30,647,4918,2949,2274,3510,361,505,4561,4478,2442,,2499,
31,983,2549,4932,2949,1703,3335,2787,1485,1951,1133,,2499,
32,4783,740,1252,908,4814,648,1690,1601,679,1357,,3203,
33,297,2210,1821,2799,4798,2773,1926,2256,3818,4642,,840,
34,3102,3905,361,688,4069,1667,3963,3510,2549,37,,2499,
35,882,3409,983,2280,677,2232,4814,3704,112,239,,840,
36,193,2155,2274,266,772,416,2639,4698,361,3424,,2499,
37,1,4783,1906,4091,4177,3300,812,647,1984,903,,1168,
38,2274,4270,3590,4783,2439,2470,2251,2113,3102,983,,2499,
39,3226,2274,2949,3102,4642,1351,3936,193,66,4981,,800,
40,1007,1152,3974,588,1960,4091,4656,2274,708,3643,,840,
41,4783,740,2,647,1252,1984,2756,866,648,1690,,3184,
42,2949,4842,4270,3335,4005,2773,1611,3092,3282,4545,,6906,
43,4783,4177,647,1252,1984,903,983,4814,2218,2848,,800,
44,2274,4573,3282,1733,4929,2355,882,4131,62,2086,,2499,
45,647,1984,2949,4880,4836,4738,3510,3207,112,1926,,840,
46,960,80,3424,2773,4106,145,159,509,2774,3592,,332,
47,4783,4177,647,1601,4737,1008,3510,960,1014,4572,,5006,
48,437,2210,4501,4851,3982,14,4396,3072,38,882,,840,
49,1732,125,3640,2987,2342,3083,2755,3211,4228,4642,,2499,
50,3198,484,3519,740,647,4433,3155,1730,127,371,,7655,
51,740,4091,647,2756,1089,2549,2848,3939,193,2820,,5319,
52,58,4652,1337,66,4741,3282,193,1926,2691,708,,3203,
53,1595,2852,882,3885,336,1732,3619,681,3438,3078,,4717,
54,2549,4493,2274,3335,4352,4927,3483,2256,716,3883,,5006,
55,3386,112,2604,193,3700,1854,1129,4342,1184,1048,,335,
56,4783,740,4091,4177,647,2756,903,908,983,1646,,7470,
57,3100,809,3282,4131,302,4501,3977,1479,2549,4615,,5006,
58,2549,4918,2280,4270,4642,361,80,3424,945,112,,2499,
59,2280,2274,4270,1330,4177,882,4783,4642,203,2620,,840,
60,882,416,13,391,1782,827,2803,276,2970,655,,840,
61,647,2549,708,125,2949,2280,2342,2274,4245,3510,,5006,
62,647,2549,2274,1048,284,2830,3335,3083,2911,2474,,5006,
63,647,648,4275,2739,2280,3905,98,617,3459,203,,5006,
64,674,804,4106,1398,3732,647,1055,193,2970,2903,,5010,
65,276,1178,2274,3078,2522,1129,3510,193,2377,1684,,4717,
66,691,2210,324,2848,1020,145,3337,2274,4922,894,,840,
67,4177,647,1653,903,3813,4814,648,2549,324,4932,,63,
68,828,4532,2430,1270,1595,1128,2501,361,827,2958,,5010,
69,357,4093,125,4234,2256,2377,2280,586,2342,4722,,3184,
70,983,4814,4880,4836,2274,674,4683,2639,3083,4477,,2499,
71,740,4177,3813,1646,4814,297,2549,2848,324,2083,,63,
