,0,1,2,3,4,5,6,7,8,9,i1,i2,nl
0,284,4096,794,577,362,389,415,3660,4332,4814,,,"[342.2, 7.0, 59.0, 24.0, 32.0, 3.0, 20.0]"
1,960,4941,261,646,4926,231,2912,193,1178,4561,,,"[204.8, 5.0, 9.0, 26.0, 24.0, 2.0, 10.0]"
2,740,2949,532,516,856,361,27,3459,4722,2848,,,"[132.3, 11.0, 39.0, 5.0, 4.0, 11.0, 5.0]"
3,4803,634,828,2912,3645,36,2227,252,69,3041,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
4,674,2639,532,4793,4918,505,2990,3102,4005,484,,,"[245.3, 14.0, 17.0, 44.0, 39.0, 17.0, 7.0]"
5,147,2311,2468,1921,2232,2987,2274,4051,3229,3111,,,"[412.6, 0.0, 410.0, 2.0, 0.0, 0.0, 35.0]"
6,2832,2507,1740,2801,1522,1578,1698,2225,2501,4396,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
7,1857,98,2322,284,4101,276,3342,2430,4275,4880,,,"[372.6, 30.0, 13.0, 39.0, 31.0, 52.0, 11.0]"
8,56,674,4658,4730,1774,4396,462,4098,388,4773,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
9,923,56,4194,960,2499,217,1715,3676,3736,2988,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
10,284,4005,4194,193,2681,3066,3459,4642,159,4665,,,"[225.1, 22.0, 21.0, 13.0, 23.0, 25.0, 3.0]"
11,577,532,1984,1449,2832,2271,3519,1960,2439,648,,,"[672.8, 19.0, 21.0, 4.0, 94.0, 12.0, 29.0]"
12,988,4149,740,3423,2595,4167,3290,1446,2988,171,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
13,2342,3743,4722,145,3971,1252,945,4989,3459,98,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
14,2632,1116,647,2160,1215,3164,2876,4445,2833,2894,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
15,125,3085,740,989,2274,1712,98,976,112,2232,,,"[95.3, 1.0, 50.0, 16.0, 5.0, 0.0, 7.0]"
16,1762,1611,4640,4533,2196,459,3238,4335,4214,123,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
17,960,4097,3066,3612,903,4284,505,4373,4005,2657,,,"[209.0, 10.0, 17.0, 12.0, 53.0, 10.0, 3.0]"
18,4791,3227,1244,4826,2160,4332,3210,2902,112,740,,,"[182.4, 2.0, 50.0, 7.0, 11.0, 1.0, 13.0]"
19,1715,1739,145,3406,2170,3424,158,870,266,1736,,,"[240.3, 1.0, 19.0, 36.0, 25.0, 1.0, 15.0]"
20,3459,4642,284,361,925,2480,1184,2681,730,2210,,,"[429.7, 55.0, 11.0, 18.0, 26.0, 93.0, 4.0]"
21,521,3408,708,297,1715,1681,983,3498,3497,483,,,"[549.0, 40.0, 41.0, 20.0, 38.0, 34.0, 20.0]"
22,3083,1522,240,361,2086,3007,1725,4233,3497,193,,,"[159.0, 2.0, 8.0, 13.0, 18.0, 1.0, 9.0]"
23,2832,4402,3068,4640,2945,266,3985,708,532,4252,,,"[159.0, 2.0, 8.0, 13.0, 18.0, 1.0, 9.0]"
24,1864,1242,3314,2342,112,681,2718,2031,4245,3611,,,"[401.1, 28.0, 117.0, 10.0, 8.0, 28.0, 18.0]"
25,1740,193,647,286,2639,4961,3102,4814,3335,3602,,,"[325.1, 27.0, 8.0, 24.0, 16.0, 47.0, 10.0]"
26,3510,4960,1287,4683,3459,3700,4177,4955,205,3732,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
27,145,4044,4245,3746,3732,4683,3102,3459,4531,320,,,"[272.2, 22.0, 10.0, 20.0, 50.0, 42.0, 3.0]"
28,3424,3519,1597,1519,3282,145,4208,4143,484,4639,,,"[377.3, 45.0, 29.0, 25.0, 12.0, 21.0, 10.0]"
29,361,1984,4005,284,907,617,4888,145,532,768,,,"[988.1, 122.0, 71.0, 93.0, 64.0, 112.0, 14.0]"
30,940,4005,2439,1667,532,3885,4642,3510,1755,150,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
31,276,617,3732,3459,4642,647,165,2911,1715,1087,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
32,3259,2667,1581,780,1066,1464,4826,1404,109,1224,,,"[144.7, 11.0, 32.0, 30.0, 3.0, 20.0, 6.0]"
33,516,1446,1684,2401,8,72,3977,2445,945,2342,,,"[262.9, 23.0, 95.0, 6.0, 6.0, 40.0, 9.0]"
34,484,2830,1254,148,2095,3355,3102,3459,2401,4527,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
35,4446,2444,4106,2274,166,287,2395,186,4051,2445,,,"[61.8, 0.0, 42.0, 7.0, 0.0, 0.0, 5.0]"
36,3778,4642,4091,1128,4622,1740,2447,532,2620,2200,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
37,2113,558,2553,4751,2989,193,3066,3170,3533,1574,,,"[346.1, 33.0, 14.0, 24.0, 56.0, 34.0, 3.0]"
38,505,145,4005,1556,2210,4445,1029,674,3413,532,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
39,58,36,4561,3424,2210,4642,430,1740,1728,3770,,,"[384.1, 33.0, 4.0, 49.0, 43.0, 39.0, 7.0]"
40,3494,2063,532,1740,3282,2988,193,2654,461,4035,,,"[272.2, 22.0, 10.0, 20.0, 50.0, 42.0, 3.0]"
41,1984,3623,191,4127,2210,4665,4282,3366,1455,2021,,,"[233.9, 15.0, 32.0, 24.0, 12.0, 24.0, 12.0]"
42,2538,1214,3810,453,3131,3048,3826,1651,4652,4885,,,"[473.8, 30.0, 26.0, 74.0, 64.0, 21.0, 14.0]"
43,4706,923,4091,3489,394,4390,4770,36,3238,3217,,,"[309.8, 10.0, 36.0, 49.0, 88.0, 6.0, 5.0]"
44,532,4188,647,4803,172,4637,2377,2989,4091,4720,,,"[363.5, 20.0, 15.0, 11.0, 102.0, 25.0, 2.0]"
45,1740,960,577,3068,3424,1778,3287,284,4290,1894,,,"[97.4, 2.0, 9.0, 5.0, 28.0, 2.0, 1.0]"
46,294,3102,58,708,4140,704,2022,738,2524,4086,,,"[313.7, 26.0, 21.0, 23.0, 39.0, 37.0, 6.0]"
47,708,191,4665,972,2649,1471,2210,908,2439,4527,,,"[223.9, 8.0, 18.0, 10.0, 11.0, 15.0, 12.0]"
48,2355,3894,708,1062,829,276,3914,3459,2787,1128,,,"[164.7, 20.0, 10.0, 11.0, 0.0, 9.0, 3.0]"
49,1374,145,239,1029,2222,4955,1818,3003,1143,989,,,"[293.7, 18.0, 78.0, 7.0, 9.0, 27.0, 13.0]"
50,1601,2792,4693,3102,231,145,953,874,4177,4282,,,"[315.7, 14.0, 31.0, 4.0, 86.0, 11.0, 4.0]"
51,2125,1362,2958,3660,391,3109,2949,112,2472,2025,,,"[367.0, 31.0, 101.0, 10.0, 9.0, 12.0, 14.0]"
52,3314,4757,2683,112,4951,4573,2025,4245,3320,1684,,,"[1039.6, 70.0, 367.0, 25.0, 29.0, 138.0, 48.0]"
53,2251,3102,874,145,2342,1681,3736,2210,3196,1835,,,"[301.1, 20.0, 49.0, 54.0, 59.0, 38.0, 5.0]"
54,255,85,74,4954,2255,945,4804,3928,2744,2350,,,"[1039.6, 70.0, 367.0, 25.0, 29.0, 138.0, 48.0]"
55,324,3102,2439,150,4645,646,4847,2848,2033,3770,,,"[275.0, 28.0, 5.0, 55.0, 43.0, 54.0, 1.0]"
56,2726,137,4034,909,1205,2105,1230,1547,1317,2170,,,"[385.9, 39.0, 11.0, 33.0, 23.0, 62.0, 9.0]"
57,505,3210,532,1762,4640,3781,2122,240,2608,4284,,,"[115.5, 2.0, 7.0, 4.0, 7.0, 1.0, 7.0]"
58,145,193,1178,2334,361,4194,4005,4642,1555,3078,,,"[436.4, 21.0, 29.0, 18.0, 63.0, 30.0, 14.0]"
59,1715,2377,2782,2501,228,1601,2158,3732,193,1087,,,"[634.9, 40.0, 37.0, 18.0, 141.0, 19.0, 6.0]"
60,2478,4098,4573,3370,1983,1287,4396,4955,1074,2291,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
61,4143,1740,1774,2377,4635,953,145,2747,4661,3058,,,"[389.6, 17.0, 7.0, 9.0, 128.0, 10.0, 1.0]"
62,4760,3966,1041,935,361,3048,2265,284,1087,4194,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
63,1943,3094,391,4760,2949,3352,62,4140,2058,4840,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
64,4642,96,98,1455,145,361,1601,617,2295,3565,,,"[207.2, 13.0, 1.0, 8.0, 57.0, 25.0, 0.0]"
65,2632,4245,1215,3971,882,989,740,4726,4843,166,,,"[183.1, 5.0, 59.0, 15.0, 9.0, 3.0, 10.0]"
66,1464,2638,98,4691,666,453,1984,2908,145,3472,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
67,2975,3282,145,259,3576,1184,3055,4639,4814,4807,,,"[266.2, 17.0, 5.0, 6.0, 18.0, 31.0, 10.0]"
68,4910,4814,1244,361,4576,700,882,3753,193,4406,,,"[228.2, 2.0, 2.0, 8.0, 9.0, 1.0, 15.0]"
69,176,3199,127,221,3146,266,2903,251,4960,4683,,,"[219.7, 27.0, 11.0, 1.0, 2.0, 12.0, 4.0]"
70,3424,1485,2200,708,2832,4720,389,2355,532,2210,,,"[228.2, 2.0, 2.0, 8.0, 9.0, 1.0, 15.0]"
71,4778,3785,4826,2902,3859,1562,2122,276,3885,3725,,,"[215.7, 5.0, 25.0, 33.0, 17.0, 3.0, 13.0]"
72,2522,4642,2105,3459,4716,3204,1856,1091,3652,1055,,,"[373.6, 42.0, 4.0, 26.0, 18.0, 80.0, 2.0]"
73,588,20,1933,240,4844,4698,3695,1217,4022,960,,,"[258.3, 12.0, 22.0, 8.0, 18.0, 6.0, 13.0]"
74,125,4573,989,1918,2274,2206,3847,203,3626,1684,,,"[368.2, 19.0, 183.0, 4.0, 5.0, 37.0, 21.0]"
75,1667,4752,1091,4793,361,654,2540,3510,276,3644,,,"[285.3, 18.0, 10.0, 4.0, 10.0, 36.0, 13.0]"
76,740,3483,2803,2607,2280,3229,2049,2616,3661,3715,,,"[183.2, 3.0, 115.0, 5.0, 19.0, 6.0, 10.0]"
77,923,4091,2002,1735,283,828,3100,855,2508,3767,,,"[292.0, 12.0, 8.0, 37.0, 94.0, 13.0, 1.0]"
78,4960,708,3424,647,3510,1374,152,2976,2342,261,,,"[218.9, 15.0, 34.0, 12.0, 9.0, 5.0, 10.0]"
80,2086,1752,1333,1736,3928,4086,4836,2229,3210,780,,,"[218.0, 23.0, 40.0, 71.0, 10.0, 10.0, 7.0]"
81,945,4894,125,203,1400,2470,98,894,1355,3267,,,"[183.2, 3.0, 115.0, 5.0, 19.0, 6.0, 10.0]"
82,2200,1240,2196,3354,3628,769,4003,1708,525,723,,,"[326.9, 3.0, 9.0, 24.0, 18.0, 1.0, 22.0]"
83,442,4209,1951,193,2543,1464,3066,4645,4752,4642,,,"[261.2, 26.0, 11.0, 33.0, 23.0, 31.0, 5.0]"
84,2223,1646,708,1854,4369,998,882,793,4985,3109,,,"[524.5, 40.0, 195.0, 13.0, 12.0, 49.0, 24.0]"
85,1711,391,239,532,802,4698,240,708,925,145,,,"[291.6, 20.0, 52.0, 22.0, 18.0, 15.0, 12.0]"
86,3290,1854,3781,112,609,740,4115,391,930,708,,,"[112.9, 5.0, 35.0, 4.0, 8.0, 2.0, 7.0]"
