,0,1,2,3,4,5,6,7,8,9,i1,i2,hl,nl
0,3685,3593,617,1970,4579,2639,3565,4932,1715,193,590,,,
1,1252,2639,2854,2436,4491,4968,1357,4187,1679,2798,4253,,,
2,3003,617,3417,276,2796,3506,186,3746,2747,2843,1786,,,
3,1764,76,4302,4319,4609,4040,556,3047,4243,4730,1297,,,
4,14,1464,2970,3337,1684,633,4970,522,2287,4177,4096,,,
5,3519,2632,114,3888,2295,2317,3958,177,2731,3647,5298,,,
6,1711,4282,3018,38,3653,2645,4574,1611,2359,4524,7946,,,
7,4646,3019,1899,1204,1611,4151,712,2446,2496,4039,4231,,,
8,1172,2113,2510,1354,570,413,4411,2975,3873,3045,3512,,,
9,4453,3510,173,4297,1486,1169,3001,3217,401,2390,1124,,,
10,3189,225,1933,4568,1145,1532,2033,2912,3337,1200,4384,,,
11,145,648,3342,4318,1066,3817,2510,2549,2830,664,3486,,,
12,4177,4642,882,125,1856,2656,2436,4218,3314,2076,7367,,,
13,2377,2988,983,4049,2945,4778,2256,2903,2458,3791,4308,,,
14,4124,1412,1646,2280,63,3854,301,2921,2304,3564,150,,,
15,1479,1337,3143,909,2221,488,809,2142,2686,4799,4574,,,
16,181,4954,866,3289,1749,1143,2930,2887,2181,4226,2817,,,
17,1085,266,2520,1667,2341,3337,780,1072,3636,2452,2816,,,
18,1970,3719,1088,4093,531,1494,2217,3459,1113,88,5180,,,
19,4814,272,852,3576,4719,4950,713,892,565,760,2001,,,
20,1873,3459,3267,1707,221,648,2037,708,104,1813,2499,,,
21,3677,3043,2549,4488,2326,3942,140,726,2703,2188,1043,,,
22,4501,4665,4695,2730,1855,186,1777,4470,3269,2663,7470,,,
23,4814,3963,3329,744,983,4877,2162,1732,70,1411,6009,,,
24,3700,4960,1136,1400,4798,989,1014,2996,177,465,3497,,,
25,4444,160,1270,768,2496,565,3424,4564,3826,1728,5168,,,
26,4955,4005,1178,4041,692,1306,4396,1129,3189,4482,6335,,,
27,1994,3506,740,4693,276,2349,175,3003,2835,4396,1786,,,
28,3908,4533,200,738,3827,3593,4752,1087,3432,898,5915,,,
29,2549,4524,3183,2149,946,544,1611,1711,2743,1338,7946,,,
30,373,3102,4818,3121,3781,4577,3795,4294,4507,3300,6324,,,
31,1549,2232,1048,248,2010,2090,2326,2795,4193,2607,5825,,,
32,708,1783,979,2222,700,2260,2666,953,2874,1080,7655,,,
33,3889,3971,391,1089,234,3024,203,571,2842,647,1511,,,
34,4954,160,3651,1088,3238,1404,2229,240,361,2703,2757,,,
35,3459,3080,2138,145,4594,1008,3173,2301,3829,175,1168,,,
36,2100,1519,4533,4409,520,1030,738,1835,448,131,1252,,,
37,3593,54,2530,3168,336,136,1936,2607,2474,329,7642,,,
38,1519,261,1194,2632,4171,856,3441,1951,3873,284,4987,,,
39,1190,307,1818,3232,1049,4302,4304,76,1993,4730,1297,,,
40,320,276,191,1970,4954,4869,183,1252,2088,2097,8021,,,
41,713,192,2113,1749,3636,3555,2051,1857,3576,764,5502,,,
42,2004,3338,4762,3932,2543,2118,38,4445,1197,1053,4189,,,
43,4432,21,1504,1983,4635,4534,1270,1246,458,900,5106,,,
44,1950,2866,3526,2970,2224,1192,193,601,895,3058,3217,,,
45,4270,3068,4352,4090,1818,3979,3217,1856,4284,389,393,,,
46,1080,2021,4034,3437,117,4295,2040,742,4479,4902,1170,,,
47,193,2447,69,1224,2704,505,183,4560,2549,2970,1329,,,
48,288,3928,1076,4396,548,677,2146,845,700,3278,1833,,,
49,3592,3908,1841,3424,3663,4093,1791,67,4445,4012,3399,,,
50,145,66,505,4445,2,3459,3454,2536,4206,3903,1168,,,
51,1618,3145,4659,3456,4603,2458,2796,3189,4332,1409,4384,,,
52,484,1787,4961,3100,3611,3271,4709,4005,3143,1429,4717,,,
53,3314,4493,630,3024,4026,2440,98,1984,1684,4570,335,,,
54,4955,3052,4453,4090,817,1721,2139,3510,502,2968,1124,,,
55,361,3041,4583,2586,569,3965,127,4683,1317,593,6276,,,
56,1252,1821,2179,448,3516,3066,687,4751,2051,131,1252,,,
57,2256,983,4771,4097,1740,4836,2377,4349,2500,2988,4308,,,
58,1557,936,41,4533,4568,3942,861,3831,4091,1519,3248,,,
59,4714,1178,2548,2937,949,314,4955,3662,829,4683,2856,,,
60,4783,731,4409,4770,2676,4828,36,2440,2319,3269,2509,,,
61,484,708,2494,3459,3164,2958,1178,152,998,4194,2499,,,
62,1473,1886,88,983,1611,4398,946,2436,3537,4164,7946,,,
63,98,2250,3314,2160,2206,63,2295,4393,203,1973,7449,,,
64,160,4714,4302,3575,4245,3431,1484,4665,4790,1650,3668,,,
65,4214,2549,1252,1711,4142,654,3820,1454,2018,2155,4053,,,
66,160,3329,1324,1085,2536,4338,1504,2452,799,1437,2816,,,
67,708,2342,80,2422,1681,4783,1359,1014,3498,4622,7956,,,
68,4778,4478,945,1475,3564,489,4207,2289,856,2533,150,,,
69,647,125,786,708,1371,2835,4573,3483,4043,1472,6906,,,
70,3393,3440,2639,1020,2168,2829,3908,2495,3593,2484,4253,,,
71,4198,2610,4960,630,255,391,4645,2649,4140,1116,342,,,
72,4477,610,3949,2639,4954,698,320,3152,4545,2940,8021,,,
73,2496,4131,2970,1630,99,38,193,3022,3045,4143,2378,,,
74,100,4026,109,3185,1605,1726,413,2559,2531,4488,3512,,,
75,4927,4771,198,2553,2988,2377,1140,106,4778,3058,4308,,,
76,617,3459,4005,2830,1330,3330,203,4140,205,320,4717,,,
77,2568,586,1879,2160,2181,63,3543,1715,4003,1832,4717,,,
78,870,307,4243,4302,1818,3232,472,704,2469,1190,1297,,,
80,3292,99,2251,1493,251,2616,2447,1341,1430,2524,2131,,,
81,1142,4005,744,2404,1685,4961,2897,4829,2430,3901,298,,,
82,4783,647,2220,2820,708,125,3185,2280,3995,2274,6906,,,
83,3810,131,2224,361,1601,181,3003,3575,4183,1927,339,,,
84,1986,1080,2743,15,3930,3198,4560,2345,3338,4912,7233,,,
85,3391,2773,4693,239,4669,925,3047,309,264,148,6426,,,
86,1178,4252,4428,181,4337,4275,3287,3817,4171,3963,2148,,,
87,1306,4814,760,4778,4349,4049,3791,983,2377,152,4308,,,
88,3432,2773,2430,3928,736,3369,96,4683,4110,309,2856,,,
89,2608,2162,3060,3022,2349,2344,1679,1720,2843,2256,5966,,,
90,1116,1936,2088,1984,408,1496,3519,4493,4981,1230,335,,,
91,1984,4858,391,2884,2860,475,2319,3519,3314,2239,335,,,
92,647,4899,617,2921,3650,586,4737,3198,3423,932,4964,,,
