,0,1,2,3,4,5,6,7,8,9,i1,i2,nl
0,240,1522,2949,1736,4005,1014,3557,3095,145,4941,,,"[342.2, 7.0, 59.0, 24.0, 32.0, 3.0, 20.0]"
1,3424,708,457,145,2004,3342,4738,4635,4950,1522,,,"[204.8, 5.0, 9.0, 26.0, 24.0, 2.0, 10.0]"
2,3977,2356,2342,3078,1984,741,40,1740,789,1611,,,"[132.3, 11.0, 39.0, 5.0, 4.0, 11.0, 5.0]"
3,2355,4725,1458,2055,2095,3894,3258,809,4960,4807,,,"[3394.5, 477.0, 320.0, 24.0, 138.0, 148.0, 44.0]"
4,4382,4720,130,3652,2356,3650,1545,4338,268,4131,,,"[2786.2, 342.0, 134.0, 290.0, 161.0, 301.0, 42.0]"
5,145,1698,2342,521,2522,4658,3238,4098,2740,2824,,,"[695.3, 40.0, 68.0, 53.0, 158.0, 39.0, 10.0]"
6,4455,4091,874,21,217,4842,940,4284,4396,183,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
7,744,1287,4851,3198,3472,4496,3510,3652,4561,2104,,,"[261.2, 26.0, 11.0, 33.0, 23.0, 31.0, 5.0]"
8,2782,1522,145,532,484,4512,3092,4335,361,620,,,"[942.8, 56.0, 49.0, 67.0, 81.0, 47.0, 35.0]"
9,303,1715,1522,4126,2200,1087,4049,357,159,738,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
10,3078,2874,983,3459,2342,4126,1611,4955,543,1708,,,"[2845.4, 88.0, 94.0, 98.0, 143.0, 45.0, 169.0]"
11,361,193,145,1049,588,4527,3628,1774,1681,502,,,"[672.8, 19.0, 21.0, 4.0, 94.0, 12.0, 29.0]"
12,4645,3432,3813,1684,1621,391,4501,4352,3337,2355,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
13,1854,125,708,4043,3164,1970,3003,4782,740,1665,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
14,98,2560,2949,4245,4894,125,3476,2988,767,3510,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
15,203,2549,740,4791,2468,1737,112,3923,62,3715,,,"[95.3, 1.0, 50.0, 16.0, 5.0, 0.0, 7.0]"
16,4955,2454,416,2142,648,3459,679,14,4642,505,,,"[2330.9, 343.0, 1.0, 14.0, 62.0, 151.0, 17.0]"
17,4760,3164,2256,3226,239,145,940,4683,4844,284,,,"[1942.5, 149.0, 403.0, 64.0, 48.0, 299.0, 81.0]"
18,2544,4393,4465,4966,4585,4783,3048,3510,4954,2422,,,"[182.4, 2.0, 50.0, 7.0, 11.0, 1.0, 13.0]"
19,98,2610,1936,4501,3012,2819,1646,4446,1371,337,,,"[2161.0, 154.0, 1083.0, 32.0, 66.0, 93.0, 102.0]"
20,2957,361,3509,3421,373,4082,193,2608,276,127,,,"[1389.5, 185.0, 53.0, 45.0, 56.0, 264.0, 16.0]"
